TITLE="(Vx,Vy)"
VARIABLES=X,MPR1,MPR2,MPR3
ZONE T="T-Dummy" I=1, J=1
0.000000 0.231349 0.231349 0.234147
0.005000 0.231349 0.231349 0.234147
0.005000 0.231349 0.231349 0.234147
0.010000 0.231348 0.231348 0.234147
0.010000 0.231348 0.231348 0.234147
0.015000 0.231348 0.231348 0.234147
0.015000 0.231348 0.231348 0.234147
0.020000 0.231347 0.231347 0.234147
0.020000 0.231347 0.231347 0.234147
0.025000 0.231346 0.231346 0.234147
0.025000 0.231346 0.231346 0.234147
0.030000 0.231345 0.231345 0.234147
0.030000 0.231345 0.231345 0.234147
0.035000 0.231344 0.231344 0.234147
0.035000 0.231344 0.231344 0.234147
0.040000 0.231343 0.231343 0.234147
0.040000 0.231343 0.231343 0.234147
0.045000 0.231340 0.231341 0.234147
0.045000 0.231340 0.231341 0.234147
0.050000 0.231338 0.231340 0.234147
0.050000 0.231338 0.231340 0.234147
0.055000 0.231335 0.231338 0.234147
0.055000 0.231335 0.231338 0.234147
0.060000 0.231333 0.231336 0.234147
0.060000 0.231333 0.231336 0.234147
0.065000 0.231330 0.231334 0.234147
0.065000 0.231330 0.231334 0.234147
0.070000 0.231327 0.231331 0.234147
0.070000 0.231327 0.231331 0.234147
0.075000 0.231324 0.231329 0.234147
0.075000 0.231324 0.231329 0.234147
0.080000 0.231321 0.231326 0.234147
0.080000 0.231321 0.231326 0.234147
0.085000 0.231317 0.231323 0.234147
0.085000 0.231317 0.231323 0.234147
0.090000 0.231313 0.231320 0.234147
0.090000 0.231313 0.231320 0.234147
0.095000 0.231309 0.231317 0.234147
0.095000 0.231309 0.231317 0.234147
0.100000 0.231305 0.231313 0.234147
0.100000 0.231305 0.231313 0.234147
0.105000 0.231301 0.231310 0.234147
0.105000 0.231301 0.231310 0.234147
0.110000 0.231296 0.231306 0.234147
0.110000 0.231296 0.231306 0.234147
0.115000 0.231291 0.231302 0.234147
0.115000 0.231291 0.231302 0.234147
0.120000 0.231286 0.231298 0.234147
0.120000 0.231286 0.231298 0.234147
0.125000 0.231281 0.231294 0.234147
0.125000 0.231281 0.231294 0.234147
0.130000 0.231275 0.231289 0.234147
0.130000 0.231275 0.231289 0.234147
0.135000 0.231270 0.231285 0.234147
0.135000 0.231270 0.231285 0.234147
0.140000 0.231264 0.231280 0.234147
0.140000 0.231264 0.231280 0.234147
0.145000 0.231258 0.231275 0.234147
0.145000 0.231258 0.231275 0.234147
0.150000 0.231251 0.231270 0.234147
0.150000 0.231251 0.231270 0.234147
0.155000 0.231245 0.231264 0.234147
0.155000 0.231245 0.231264 0.234147
0.160000 0.231238 0.231259 0.234147
0.160000 0.231238 0.231259 0.234147
0.165000 0.231231 0.231253 0.234147
0.165000 0.231231 0.231253 0.234147
0.170000 0.231224 0.231248 0.234147
0.170000 0.231224 0.231248 0.234147
0.175000 0.231216 0.231242 0.234147
0.175000 0.231216 0.231242 0.234147
0.180000 0.231209 0.231236 0.234147
0.180000 0.231209 0.231236 0.234147
0.185000 0.231201 0.231229 0.234147
0.185000 0.231201 0.231229 0.234147
0.190000 0.231193 0.231223 0.234147
0.190000 0.231193 0.231223 0.234147
0.195000 0.231185 0.231216 0.231216
0.195000 0.231185 0.231216 0.231216
0.200000 0.231176 0.231209 0.231209
0.200000 0.231176 0.231209 0.231209
0.205000 0.231168 0.231203 0.231203
0.205000 0.231168 0.231203 0.231203
0.210000 0.231159 0.231195 0.231195
0.210000 0.231159 0.231195 0.231195
0.215000 0.231150 0.231188 0.231188
0.215000 0.231150 0.231188 0.231188
0.220000 0.231143 0.231181 0.231181
0.220000 0.231143 0.231181 0.231181
0.225000 0.231136 0.231173 0.231173
0.225000 0.231136 0.231173 0.231173
0.230000 0.231130 0.231166 0.231166
0.230000 0.231130 0.231166 0.231166
0.235000 0.231123 0.231161 0.231161
0.235000 0.231123 0.231161 0.231161
0.240000 0.231116 0.231155 0.231155
0.240000 0.231116 0.231155 0.231155
0.245000 0.231108 0.231149 0.231149
0.245000 0.231108 0.231149 0.231149
0.250000 0.231101 0.231144 0.231144
0.250000 0.231101 0.231144 0.231144
0.255000 0.231093 0.231138 0.231138
0.255000 0.231093 0.231138 0.231138
0.260000 0.231086 0.231132 0.231132
0.260000 0.231086 0.231132 0.231132
0.265000 0.231078 0.231125 0.231125
0.265000 0.231078 0.231125 0.231125
0.270000 0.231070 0.231119 0.231119
0.270000 0.231070 0.231119 0.231119
0.275000 0.231062 0.231113 0.231113
0.275000 0.231062 0.231113 0.231113
0.280000 0.231054 0.231106 0.231106
0.280000 0.231054 0.231106 0.231106
0.285000 0.231046 0.231100 0.231100
0.285000 0.231046 0.231100 0.231100
0.290000 0.231037 0.231093 0.231093
0.290000 0.231037 0.231093 0.231093
0.295000 0.231029 0.231086 0.231086
0.295000 0.231029 0.231086 0.231086
0.300000 0.231020 0.231080 0.231080
0.300000 0.231020 0.231080 0.231080
0.305000 0.231012 0.231073 0.231073
0.305000 0.231012 0.231073 0.231073
0.310000 0.231003 0.231066 0.231066
0.310000 0.231003 0.231066 0.231066
0.315000 0.230994 0.231058 0.231058
0.315000 0.230994 0.231058 0.231058
0.320000 0.230985 0.231051 0.231051
0.320000 0.230985 0.231051 0.231051
0.325000 0.230975 0.231044 0.231044
0.325000 0.230975 0.231044 0.231044
0.330000 0.230966 0.231037 0.231037
0.330000 0.230966 0.231037 0.231037
0.335000 0.230956 0.231029 0.231029
0.335000 0.230956 0.231029 0.231029
0.340000 0.230947 0.231021 0.231021
0.340000 0.230947 0.231021 0.231021
0.345000 0.230937 0.231014 0.231014
0.345000 0.230937 0.231014 0.231014
0.350000 0.230927 0.231006 0.231006
0.350000 0.230927 0.231006 0.231006
0.355000 0.230917 0.230998 0.230998
0.355000 0.230917 0.230998 0.230998
0.360000 0.230907 0.230990 0.230990
0.360000 0.230907 0.230990 0.230990
0.365000 0.230897 0.230982 0.230982
0.365000 0.230897 0.230982 0.230982
0.370000 0.230886 0.230974 0.230974
0.370000 0.230886 0.230974 0.230974
0.375000 0.230876 0.230965 0.230965
0.375000 0.230876 0.230965 0.230965
0.380000 0.230865 0.230957 0.230957
0.380000 0.230865 0.230957 0.230957
0.385000 0.230854 0.230949 0.230949
0.385000 0.230854 0.230949 0.230949
0.390000 0.230842 0.230940 0.230940
0.390000 0.230842 0.230940 0.230940
0.395000 0.230831 0.230931 0.230931
0.395000 0.230831 0.230931 0.230931
0.400000 0.230819 0.230923 0.230923
0.400000 0.230819 0.230923 0.230923
0.405000 0.230808 0.230914 0.230914
0.405000 0.230808 0.230914 0.230914
0.410000 0.230796 0.230905 0.230905
0.410000 0.230796 0.230905 0.230905
0.415000 0.230785 0.230896 0.230896
0.415000 0.230785 0.230896 0.230896
0.420000 0.230773 0.230887 0.230887
0.420000 0.230773 0.230887 0.230887
0.425000 0.230761 0.230878 0.230878
0.425000 0.230761 0.230878 0.230878
0.430000 0.230749 0.230868 0.230868
0.430000 0.230749 0.230868 0.230868
0.435000 0.230737 0.230859 0.230859
0.435000 0.230737 0.230859 0.230859
0.440000 0.230725 0.230849 0.230849
0.440000 0.230725 0.230849 0.230849
0.445000 0.230712 0.230840 0.230840
0.445000 0.230712 0.230840 0.230840
0.450000 0.230700 0.230830 0.230830
0.450000 0.230700 0.230830 0.230830
0.455000 0.230687 0.230820 0.230820
0.455000 0.230687 0.230820 0.230820
0.460000 0.230674 0.230810 0.230810
0.460000 0.230674 0.230810 0.230810
0.465000 0.230661 0.230800 0.230800
0.465000 0.230661 0.230800 0.230800
0.470000 0.230648 0.230790 0.230790
0.470000 0.230648 0.230790 0.230790
0.475000 0.230635 0.230780 0.230780
0.475000 0.230635 0.230780 0.230780
0.480000 0.230622 0.230770 0.230770
0.480000 0.230622 0.230770 0.230770
0.485000 0.230608 0.230760 0.230760
0.485000 0.230608 0.230760 0.230760
0.490000 0.230598 0.230749 0.230749
0.490000 0.230598 0.230749 0.230749
0.495000 0.230589 0.230739 0.230739
0.495000 0.230589 0.230739 0.230739
0.500000 0.230579 0.230728 0.230728
0.500000 0.230579 0.230728 0.230728
0.505000 0.230570 0.230718 0.230718
0.505000 0.230570 0.230718 0.230718
0.510000 0.230560 0.230707 0.230707
0.510000 0.230560 0.230707 0.230707
0.515000 0.230551 0.230696 0.230696
0.515000 0.230551 0.230696 0.230696
0.520000 0.230541 0.230686 0.230686
0.520000 0.230541 0.230686 0.230686
0.525000 0.230531 0.230679 0.230679
0.525000 0.230531 0.230679 0.230679
0.530000 0.230521 0.230671 0.230671
0.530000 0.230521 0.230671 0.230671
0.535000 0.230511 0.230664 0.230664
0.535000 0.230511 0.230664 0.230664
0.540000 0.230501 0.230656 0.230656
0.540000 0.230501 0.230656 0.230656
0.545000 0.230491 0.230648 0.230648
0.545000 0.230491 0.230648 0.230648
0.550000 0.230481 0.230641 0.230641
0.550000 0.230481 0.230641 0.230641
0.555000 0.230471 0.230633 0.230633
0.555000 0.230471 0.230633 0.230633
0.560000 0.230461 0.230625 0.230625
0.560000 0.230461 0.230625 0.230625
0.565000 0.230451 0.230617 0.230617
0.565000 0.230451 0.230617 0.230617
0.570000 0.230440 0.230609 0.230609
0.570000 0.230440 0.230609 0.230609
0.575000 0.230430 0.230601 0.230601
0.575000 0.230430 0.230601 0.230601
0.580000 0.230419 0.230593 0.230593
0.580000 0.230419 0.230593 0.230593
0.585000 0.230409 0.230585 0.230585
0.585000 0.230409 0.230585 0.230585
0.590000 0.230398 0.230577 0.230577
0.590000 0.230398 0.230577 0.230577
0.595000 0.230387 0.230569 0.230569
0.595000 0.230387 0.230569 0.230569
0.600000 0.230377 0.230561 0.230561
0.600000 0.230377 0.230561 0.230561
0.605000 0.230366 0.230553 0.230553
0.605000 0.230366 0.230553 0.230553
0.610000 0.230355 0.230545 0.230545
0.610000 0.230355 0.230545 0.230545
0.615000 0.230344 0.230536 0.230536
0.615000 0.230344 0.230536 0.230536
0.620000 0.230333 0.230528 0.230528
0.620000 0.230333 0.230528 0.230528
0.625000 0.230322 0.230520 0.230520
0.625000 0.230322 0.230520 0.230520
0.630000 0.230311 0.230511 0.230511
0.630000 0.230311 0.230511 0.230511
0.635000 0.230300 0.230503 0.230503
0.635000 0.230300 0.230503 0.230503
0.640000 0.230289 0.230494 0.230494
0.640000 0.230289 0.230494 0.230494
0.645000 0.230277 0.230486 0.230486
0.645000 0.230277 0.230486 0.230486
0.650000 0.230266 0.230477 0.230477
0.650000 0.230266 0.230477 0.230477
0.655000 0.230254 0.230469 0.230469
0.655000 0.230254 0.230469 0.230469
0.660000 0.230243 0.230460 0.230460
0.660000 0.230243 0.230460 0.230460
0.665000 0.230231 0.230451 0.230451
0.665000 0.230231 0.230451 0.230451
0.670000 0.230220 0.230443 0.230443
0.670000 0.230220 0.230443 0.230443
0.675000 0.230208 0.230434 0.230434
0.675000 0.230208 0.230434 0.230434
0.680000 0.230196 0.230425 0.230425
0.680000 0.230196 0.230425 0.230425
0.685000 0.230184 0.230416 0.230416
0.685000 0.230184 0.230416 0.230416
0.690000 0.230172 0.230407 0.230407
0.690000 0.230172 0.230407 0.230407
0.695000 0.230160 0.230398 0.230398
0.695000 0.230160 0.230398 0.230398
0.700000 0.230148 0.230389 0.230389
0.700000 0.230148 0.230389 0.230389
0.705000 0.230136 0.230380 0.230380
0.705000 0.230136 0.230380 0.230380
0.710000 0.230124 0.230371 0.230371
0.710000 0.230124 0.230371 0.230371
0.715000 0.230112 0.230362 0.230362
0.715000 0.230112 0.230362 0.230362
0.720000 0.230099 0.230353 0.230353
0.720000 0.230099 0.230353 0.230353
0.725000 0.230087 0.230344 0.230344
0.725000 0.230087 0.230344 0.230344
0.730000 0.230075 0.230335 0.230335
0.730000 0.230075 0.230335 0.230335
0.735000 0.230062 0.230325 0.230325
0.735000 0.230062 0.230325 0.230325
0.740000 0.230050 0.230316 0.230316
0.740000 0.230050 0.230316 0.230316
0.745000 0.230037 0.230307 0.230307
0.745000 0.230037 0.230307 0.230307
0.750000 0.230024 0.230297 0.230297
0.750000 0.230024 0.230297 0.230297
0.755000 0.230011 0.230288 0.230288
0.755000 0.230011 0.230288 0.230288
0.760000 0.229998 0.230278 0.230278
0.760000 0.229998 0.230278 0.230278
0.765000 0.229985 0.230269 0.230269
0.765000 0.229985 0.230269 0.230269
0.770000 0.229972 0.230259 0.230259
0.770000 0.229972 0.230259 0.230259
0.775000 0.229959 0.230250 0.230250
0.775000 0.229959 0.230250 0.230250
0.780000 0.229946 0.230240 0.230240
0.780000 0.229946 0.230240 0.230240
0.785000 0.229933 0.230230 0.230230
0.785000 0.229933 0.230230 0.230230
0.790000 0.229920 0.230220 0.230220
0.790000 0.229920 0.230220 0.230220
0.795000 0.229906 0.230211 0.230211
0.795000 0.229906 0.230211 0.230211
0.800000 0.229893 0.230201 0.230201
0.800000 0.229893 0.230201 0.230201
0.805000 0.229879 0.230191 0.230191
0.805000 0.229879 0.230191 0.230191
0.810000 0.229866 0.230181 0.230181
0.810000 0.229866 0.230181 0.230181
0.815000 0.229852 0.230171 0.230171
