TITLE="(Vx,Vy)"
VARIABLES=X,Y,jx,jy,Jm,T
ZONE T="T-Dummy" I=83, J=41, F=POINT
0.052410 0.007317 0.000000 0.000000 0.000000 412.093106
0.157229 0.007317 0.000000 0.000000 0.000000 627.921325
0.262048 0.007317 0.000000 0.000000 0.000000 633.329155
0.366867 0.007317 0.000000 0.000000 0.000000 633.413387
0.471687 0.007317 0.000000 0.000000 0.000000 633.428416
0.576506 0.007317 0.000000 0.000000 0.000000 634.475616
0.681325 0.007317 0.000000 0.000000 0.000000 690.420044
0.786145 0.007317 0.000000 0.000000 0.000000 691.459296
0.890964 0.007317 0.000000 0.000000 0.000000 691.472621
0.995783 0.007317 0.000000 0.000000 0.000000 691.472767
1.100602 0.007317 0.000000 0.000000 0.000000 691.472768
1.205422 0.007317 0.000000 0.000000 0.000000 691.472768
1.310241 0.007317 0.000000 0.000000 0.000000 691.472768
1.415060 0.007317 0.000000 0.000000 0.000000 691.472768
1.519880 0.007317 0.000000 0.000000 0.000000 691.472768
1.624699 0.007317 0.000000 0.000000 0.000000 691.472768
1.729518 0.007317 0.000000 0.000000 0.000000 691.472768
1.834337 0.007317 0.000000 0.000000 0.000000 691.472768
1.939157 0.007317 0.000000 0.000000 0.000000 691.472768
2.043976 0.007317 0.000000 0.000000 0.000000 691.472768
2.148795 0.007317 0.000000 0.000000 0.000000 691.472768
2.253614 0.007317 0.000000 0.000000 0.000000 691.472768
2.358434 0.007317 0.000000 0.000000 0.000000 691.472768
2.463253 0.007317 0.000000 0.000000 0.000000 691.472768
2.568072 0.007317 0.000000 0.000000 0.000000 691.472768
2.672892 0.007317 0.000000 0.000000 0.000000 691.472768
2.777711 0.007317 0.000000 0.000000 0.000000 691.472768
2.882530 0.007317 0.000000 0.000000 0.000000 691.472768
2.987349 0.007317 0.000000 0.000000 0.000000 691.472768
3.092169 0.007317 0.000000 0.000000 0.000000 691.472768
3.196988 0.007317 0.000000 0.000000 0.000000 691.472767
3.301807 0.007317 0.000000 0.000000 0.000000 691.472767
3.406627 0.007317 0.000000 0.000000 0.000000 691.472768
3.511446 0.007317 0.000000 0.000000 0.000000 691.472767
3.616265 0.007317 0.000000 0.000000 0.000000 691.472767
3.721084 0.007317 0.000000 0.000000 0.000000 691.472767
3.825904 0.007317 0.000000 0.000000 0.000000 691.472767
3.930723 0.007317 0.000000 0.000000 0.000000 691.472767
4.035542 0.007317 0.000000 0.000000 0.000000 691.472767
4.140361 0.007317 0.000000 0.000000 0.000000 691.472767
4.245181 0.007317 0.000000 0.000000 0.000000 691.472767
4.350000 0.007317 0.000000 0.000000 0.000000 691.472767
4.454819 0.007317 0.000000 0.000000 0.000000 691.472767
4.559639 0.007317 0.000000 0.000000 0.000000 691.472767
4.664458 0.007317 0.000000 0.000000 0.000000 691.472767
4.769277 0.007317 0.000000 0.000000 0.000000 691.472767
4.874096 0.007317 0.000000 0.000000 0.000000 691.472767
4.978916 0.007317 0.000000 0.000000 0.000000 691.472767
5.083735 0.007317 0.000000 0.000000 0.000000 691.472767
5.188554 0.007317 0.000000 0.000000 0.000000 691.472767
5.293373 0.007317 0.000000 0.000000 0.000000 691.472767
5.398193 0.007317 0.000000 0.000000 0.000000 691.472766
5.503012 0.007317 0.000000 0.000000 0.000000 691.472766
5.607831 0.007317 0.000000 0.000000 0.000000 691.472766
5.712651 0.007317 0.000000 0.000000 0.000000 691.472766
5.817470 0.007317 0.000000 0.000000 0.000000 691.472766
5.922289 0.007317 0.000000 0.000000 0.000000 691.472766
6.027108 0.007317 0.000000 0.000000 0.000000 691.472766
6.131928 0.007317 0.000000 0.000000 0.000000 691.472766
6.236747 0.007317 0.000000 0.000000 0.000000 691.472766
6.341566 0.007317 0.000000 0.000000 0.000000 691.472766
6.446386 0.007317 0.000000 0.000000 0.000000 691.472766
6.551205 0.007317 0.000000 0.000000 0.000000 691.472766
6.656024 0.007317 0.000000 0.000000 0.000000 691.472766
6.760843 0.007317 0.000000 0.000000 0.000000 691.472766
6.865663 0.007317 0.000000 0.000000 0.000000 691.472766
6.970482 0.007317 0.000000 0.000000 0.000000 691.472766
7.075301 0.007317 0.000000 0.000000 0.000000 691.472766
7.180120 0.007317 0.000000 0.000000 0.000000 691.472766
7.284940 0.007317 0.000000 0.000000 0.000000 691.472766
7.389759 0.007317 0.000000 0.000000 0.000000 691.472766
7.494578 0.007317 0.000000 0.000000 0.000000 691.472766
7.599398 0.007317 0.000000 0.000000 0.000000 691.472766
7.704217 0.007317 0.000000 0.000000 0.000000 691.472764
7.809036 0.007317 0.000000 0.000000 0.000000 691.472618
7.913855 0.007317 0.000000 0.000000 0.000000 691.459292
8.018675 0.007317 0.000000 0.000000 0.000000 690.420040
8.123494 0.007317 0.000000 0.000000 0.000000 634.475612
8.228313 0.007317 0.000000 0.000000 0.000000 633.428411
8.333133 0.007317 0.000000 0.000000 0.000000 633.413322
8.437952 0.007317 0.000000 0.000000 0.000000 633.324028
8.542771 0.007317 0.000000 0.000000 0.000000 627.564677
8.647590 0.007317 0.000000 0.000000 0.000000 394.915046
0.052410 0.021951 0.000000 0.000000 0.000000 525.217059
0.157229 0.021951 169.109955 -30.417847 171.826218 961.422663
0.262048 0.021951 499.548676 -31.313017 500.529114 968.442840
0.366867 0.021951 817.759460 -35.333138 818.522583 968.515016
0.471687 0.021951 1107.156494 -40.206787 1107.886475 968.524998
0.576506 0.021951 1322.251465 -45.827477 1323.045532 969.637022
0.681325 0.021951 1399.758057 -48.195595 1400.587524 1085.549731
0.786145 0.021951 1330.064209 -48.598160 1330.952393 1086.646814
0.890964 0.021951 1165.826416 -47.507854 1166.795654 1086.654973
0.995783 0.021951 954.400635 -46.421375 955.534180 1086.655028
1.100602 0.021951 753.932251 -48.162216 755.496582 1086.655029
1.205422 0.021951 597.533813 -48.602245 599.556152 1086.655029
1.310241 0.021951 483.218292 -49.035698 485.767334 1086.655028
1.415060 0.021951 403.613861 -48.884560 406.638702 1086.655028
1.519880 0.021951 341.018005 -47.966309 344.446533 1086.655028
1.624699 0.021951 276.470825 -46.393318 280.402710 1086.655028
1.729518 0.021951 200.996185 -44.972855 206.033569 1086.655028
1.834337 0.021951 134.353424 -45.925171 142.098007 1086.655028
1.939157 0.021951 93.742287 -46.119530 104.898170 1086.655028
2.043976 0.021951 74.551384 -46.053616 88.396584 1086.655028
2.148795 0.021951 73.146393 -46.053936 87.131790 1086.655028
2.253614 0.021951 84.482712 -46.620064 96.826813 1086.655028
2.358434 0.021951 87.851952 -45.103882 98.876053 1086.655028
2.463253 0.021951 65.404945 -43.470665 78.672516 1086.655028
