TITLE="(Vx,Vy)"
VARIABLES=X,Y,Vx,Vy,Vm,V
ZONE T="T-Dummy" I=30, J=41, F=POINT
0.063333 0.007317 0.000000 0.000000 0.000000 0.000000
0.190000 0.007317 0.000000 0.000000 0.000000 0.000000
0.316667 0.007317 0.000000 0.000000 0.000000 0.000000
0.443333 0.007317 0.000000 0.000000 0.000000 0.000000
0.570000 0.007317 0.000000 0.000000 0.000000 0.000000
0.696667 0.007317 0.000000 0.000000 0.000000 0.000000
0.823333 0.007317 0.000000 0.000000 0.000000 0.000000
0.950000 0.007317 0.000000 0.000000 0.000000 0.000000
1.076667 0.007317 0.000000 0.000000 0.000000 0.000000
1.203333 0.007317 0.000000 0.000000 0.000000 0.000000
1.330000 0.007317 0.000000 0.000000 0.000000 0.000000
1.456667 0.007317 0.000000 0.000000 0.000000 0.000000
1.583333 0.007317 0.000000 0.000000 0.000000 0.000000
1.710000 0.007317 0.000000 0.000000 0.000000 0.000000
1.836667 0.007317 0.000000 0.000000 0.000000 0.000000
1.963333 0.007317 0.000000 0.000000 0.000000 0.000000
2.090000 0.007317 0.000000 0.000000 0.000000 0.000000
2.216667 0.007317 0.000000 0.000000 0.000000 0.000000
2.343333 0.007317 0.000000 0.000000 0.000000 0.000000
2.470000 0.007317 0.000000 0.000000 0.000000 0.000000
2.596667 0.007317 0.000000 0.000000 0.000000 0.000000
2.723333 0.007317 0.000000 0.000000 0.000000 0.000000
2.850000 0.007317 0.000000 0.000000 0.000000 0.000000
2.976667 0.007317 0.000000 0.000000 0.000000 0.000000
3.103333 0.007317 0.000000 0.000000 0.000000 0.000000
3.230000 0.007317 0.000000 0.000000 0.000000 0.000000
3.356667 0.007317 0.000000 0.000000 0.000000 0.000000
3.483333 0.007317 0.000000 0.000000 0.000000 0.000000
3.610000 0.007317 0.000000 0.000000 0.000000 0.000000
3.736667 0.007317 0.000000 0.000000 0.000000 0.000000
0.063333 0.021951 0.000000 0.000000 0.000000 0.000000
0.190000 0.021951 -0.001519 0.000051 0.900000 0.001520
0.316667 0.021951 -0.004190 0.000014 0.900000 0.004190
0.443333 0.021951 -0.006154 -0.000002 0.900000 0.006154
0.570000 0.021951 -0.008020 0.000076 0.900000 0.008020
0.696667 0.021951 -0.009905 0.000093 0.900000 0.009906
0.823333 0.021951 -0.010859 0.000073 0.900000 0.010859
0.950000 0.021951 -0.010922 0.000095 0.900000 0.010923
1.076667 0.021951 -0.010548 0.000100 0.900000 0.010549
1.203333 0.021951 -0.009830 0.000106 0.900000 0.009831
1.330000 0.021951 -0.009099 0.000112 0.900000 0.009099
1.456667 0.021951 -0.008545 0.000115 0.900000 0.008546
1.583333 0.021951 -0.008301 0.000112 0.900000 0.008302
1.710000 0.021951 -0.008595 0.000106 0.900000 0.008596
1.836667 0.021951 -0.009519 0.000100 0.900000 0.009520
1.963333 0.021951 -0.010729 0.000097 0.900000 0.010729
2.090000 0.021951 -0.011642 0.000099 0.900000 0.011643
2.216667 0.021951 -0.011986 0.000102 0.900000 0.011987
2.343333 0.021951 -0.011835 0.000105 0.900000 0.011835
2.470000 0.021951 -0.011320 0.000105 0.900000 0.011321
2.596667 0.021951 -0.010547 0.000104 0.900000 0.010547
2.723333 0.021951 -0.009649 0.000109 0.900000 0.009649
2.850000 0.021951 -0.008811 0.000117 0.900000 0.008812
2.976667 0.021951 -0.008100 0.000113 0.900000 0.008100
3.103333 0.021951 -0.007501 0.000089 0.900000 0.007502
3.230000 0.021951 -0.006719 0.000035 0.900000 0.006719
3.356667 0.021951 -0.005311 -0.000041 0.900000 0.005311
3.483333 0.021951 -0.003375 -0.000065 0.900000 0.003376
3.610000 0.021951 -0.001166 -0.000071 0.900000 0.001168
3.736667 0.021951 0.000000 0.000000 0.000000 0.000000
0.063333 0.036585 0.000000 0.000000 0.000000 0.000000
0.190000 0.036585 -0.001515 0.000152 0.900000 0.001522
0.316667 0.036585 -0.004154 0.000038 0.900000 0.004154
0.443333 0.036585 -0.005970 -0.000021 0.900000 0.005970
0.570000 0.036585 -0.006306 0.000054 0.900000 0.006306
0.696667 0.036585 -0.007260 0.000217 0.900000 0.007263
0.823333 0.036585 -0.009453 0.000211 0.900000 0.009456
0.950000 0.036585 -0.010579 0.000233 0.900000 0.010582
1.076667 0.036585 -0.010721 0.000242 0.900000 0.010724
1.203333 0.036585 -0.010413 0.000260 0.900000 0.010417
1.330000 0.036585 -0.010048 0.000280 0.900000 0.010052
1.456667 0.036585 -0.009774 0.000288 0.900000 0.009778
1.583333 0.036585 -0.009606 0.000275 0.900000 0.009610
