TITLE="(Vx,Vy)"
VARIABLES=X,Y,Vx,Vy,Vm,V
ZONE T="T-Dummy" I=83, J=41, F=POINT
0.052410 0.007317 0.000000 0.000000 0.000000 0.000000
0.157229 0.007317 0.000000 0.000000 0.000000 0.000000
0.262048 0.007317 0.000000 0.000000 0.000000 0.000000
0.366867 0.007317 0.000000 0.000000 0.000000 0.000000
0.471687 0.007317 0.000000 0.000000 0.000000 0.000000
0.576506 0.007317 0.000000 0.000000 0.000000 0.000000
0.681325 0.007317 0.000000 0.000000 0.000000 0.000000
0.786145 0.007317 0.000000 0.000000 0.000000 0.000000
0.890964 0.007317 0.000000 0.000000 0.000000 0.000000
0.995783 0.007317 0.000000 0.000000 0.000000 0.000000
1.100602 0.007317 0.000000 0.000000 0.000000 0.000000
1.205422 0.007317 0.000000 0.000000 0.000000 0.000000
1.310241 0.007317 0.000000 0.000000 0.000000 0.000000
1.415060 0.007317 0.000000 0.000000 0.000000 0.000000
1.519880 0.007317 0.000000 0.000000 0.000000 0.000000
1.624699 0.007317 0.000000 0.000000 0.000000 0.000000
1.729518 0.007317 0.000000 0.000000 0.000000 0.000000
1.834337 0.007317 0.000000 0.000000 0.000000 0.000000
1.939157 0.007317 0.000000 0.000000 0.000000 0.000000
2.043976 0.007317 0.000000 0.000000 0.000000 0.000000
2.148795 0.007317 0.000000 0.000000 0.000000 0.000000
2.253614 0.007317 0.000000 0.000000 0.000000 0.000000
2.358434 0.007317 0.000000 0.000000 0.000000 0.000000
2.463253 0.007317 0.000000 0.000000 0.000000 0.000000
2.568072 0.007317 0.000000 0.000000 0.000000 0.000000
2.672892 0.007317 0.000000 0.000000 0.000000 0.000000
2.777711 0.007317 0.000000 0.000000 0.000000 0.000000
2.882530 0.007317 0.000000 0.000000 0.000000 0.000000
2.987349 0.007317 0.000000 0.000000 0.000000 0.000000
3.092169 0.007317 0.000000 0.000000 0.000000 0.000000
3.196988 0.007317 0.000000 0.000000 0.000000 0.000000
3.301807 0.007317 0.000000 0.000000 0.000000 0.000000
3.406627 0.007317 0.000000 0.000000 0.000000 0.000000
3.511446 0.007317 0.000000 0.000000 0.000000 0.000000
3.616265 0.007317 0.000000 0.000000 0.000000 0.000000
3.721084 0.007317 0.000000 0.000000 0.000000 0.000000
3.825904 0.007317 0.000000 0.000000 0.000000 0.000000
3.930723 0.007317 0.000000 0.000000 0.000000 0.000000
4.035542 0.007317 0.000000 0.000000 0.000000 0.000000
4.140361 0.007317 0.000000 0.000000 0.000000 0.000000
4.245181 0.007317 0.000000 0.000000 0.000000 0.000000
4.350000 0.007317 0.000000 0.000000 0.000000 0.000000
4.454819 0.007317 0.000000 0.000000 0.000000 0.000000
4.559639 0.007317 0.000000 0.000000 0.000000 0.000000
4.664458 0.007317 0.000000 0.000000 0.000000 0.000000
4.769277 0.007317 0.000000 0.000000 0.000000 0.000000
4.874096 0.007317 0.000000 0.000000 0.000000 0.000000
4.978916 0.007317 0.000000 0.000000 0.000000 0.000000
5.083735 0.007317 0.000000 0.000000 0.000000 0.000000
5.188554 0.007317 0.000000 0.000000 0.000000 0.000000
5.293373 0.007317 0.000000 0.000000 0.000000 0.000000
5.398193 0.007317 0.000000 0.000000 0.000000 0.000000
5.503012 0.007317 0.000000 0.000000 0.000000 0.000000
5.607831 0.007317 0.000000 0.000000 0.000000 0.000000
5.712651 0.007317 0.000000 0.000000 0.000000 0.000000
5.817470 0.007317 0.000000 0.000000 0.000000 0.000000
5.922289 0.007317 0.000000 0.000000 0.000000 0.000000
6.027108 0.007317 0.000000 0.000000 0.000000 0.000000
6.131928 0.007317 0.000000 0.000000 0.000000 0.000000
6.236747 0.007317 0.000000 0.000000 0.000000 0.000000
6.341566 0.007317 0.000000 0.000000 0.000000 0.000000
6.446386 0.007317 0.000000 0.000000 0.000000 0.000000
6.551205 0.007317 0.000000 0.000000 0.000000 0.000000
6.656024 0.007317 0.000000 0.000000 0.000000 0.000000
6.760843 0.007317 0.000000 0.000000 0.000000 0.000000
6.865663 0.007317 0.000000 0.000000 0.000000 0.000000
6.970482 0.007317 0.000000 0.000000 0.000000 0.000000
7.075301 0.007317 0.000000 0.000000 0.000000 0.000000
7.180120 0.007317 0.000000 0.000000 0.000000 0.000000
7.284940 0.007317 0.000000 0.000000 0.000000 0.000000
7.389759 0.007317 0.000000 0.000000 0.000000 0.000000
7.494578 0.007317 0.000000 0.000000 0.000000 0.000000
7.599398 0.007317 0.000000 0.000000 0.000000 0.000000
7.704217 0.007317 0.000000 0.000000 0.000000 0.000000
7.809036 0.007317 0.000000 0.000000 0.000000 0.000000
7.913855 0.007317 0.000000 0.000000 0.000000 0.000000
8.018675 0.007317 0.000000 0.000000 0.000000 0.000000
8.123494 0.007317 0.000000 0.000000 0.000000 0.000000
8.228313 0.007317 0.000000 0.000000 0.000000 0.000000
8.333133 0.007317 0.000000 0.000000 0.000000 0.000000
8.437952 0.007317 0.000000 0.000000 0.000000 0.000000
8.542771 0.007317 0.000000 0.000000 0.000000 0.000000
8.647590 0.007317 0.000000 0.000000 0.000000 0.000000
0.052410 0.021951 0.000000 0.000000 0.000000 0.000000
0.157229 0.021951 -0.003473 0.000545 0.900000 0.003515
0.262048 0.021951 -0.010604 0.000514 0.900000 0.010617
0.366867 0.021951 -0.017165 0.000482 0.900000 0.017172
0.471687 0.021951 -0.022033 0.000469 0.900000 0.022038
0.576506 0.021951 -0.025148 0.000470 0.900000 0.025153
0.681325 0.021951 -0.026883 0.000470 0.900000 0.026887
0.786145 0.021951 -0.027512 0.000477 0.900000 0.027516
0.890964 0.021951 -0.027252 0.000493 0.900000 0.027257
0.995783 0.021951 -0.026669 0.000520 0.900000 0.026674
1.100602 0.021951 -0.026088 0.000544 0.900000 0.026094
1.205422 0.021951 -0.025400 0.000548 0.900000 0.025405
1.310241 0.021951 -0.024442 0.000531 0.900000 0.024448
1.415060 0.021951 -0.023260 0.000531 0.900000 0.023266
1.519880 0.021951 -0.022006 0.000527 0.900000 0.022012
1.624699 0.021951 -0.020726 0.000519 0.900000 0.020732
1.729518 0.021951 -0.019435 0.000504 0.900000 0.019442
1.834337 0.021951 -0.018165 0.000494 0.900000 0.018172
1.939157 0.021951 -0.016935 0.000482 0.900000 0.016942
2.043976 0.021951 -0.015708 0.000463 0.900000 0.015715
2.148795 0.021951 -0.014424 0.000429 0.900000 0.014430
2.253614 0.021951 -0.013046 0.000391 0.900000 0.013052
2.358434 0.021951 -0.011716 0.000366 0.900000 0.011722
2.463253 0.021951 -0.010511 0.000328 0.900000 0.010516
2.568072 0.021951 -0.009420 0.000299 0.900000 0.009424
2.672892 0.021951 -0.008494 0.000277 0.900000 0.008499
2.777711 0.021951 -0.007706 0.000252 0.900000 0.007711
2.882530 0.021951 -0.007012 0.000224 0.900000 0.007016
2.987349 0.021951 -0.006340 0.000191 0.900000 0.006342
3.092169 0.021951 -0.005625 0.000155 0.900000 0.005627
3.196988 0.021951 -0.004903 0.000126 0.900000 0.004904
3.301807 0.021951 -0.004179 0.000109 0.900000 0.004180
3.406627 0.021951 -0.003349 0.000092 0.900000 0.003350
3.511446 0.021951 -0.002311 0.000078 0.900000 0.002312
3.616265 0.021951 -0.001105 0.000070 0.900000 0.001107
3.721084 0.021951 0.000154 0.000061 0.900000 0.000166
3.825904 0.021951 0.001356 0.000049 0.900000 0.001357
3.930723 0.021951 0.002416 0.000032 0.900000 0.002416
4.035542 0.021951 0.003375 0.000014 0.900000 0.003375
4.140361 0.021951 0.004262 0.000004 0.900000 0.004262
4.245181 0.021951 0.005026 0.000003 0.900000 0.005026
4.350000 0.021951 0.005633 0.000004 0.900000 0.005633
4.454819 0.021951 0.006076 0.000011 0.900000 0.006076
4.559639 0.021951 0.006319 0.000015 0.900000 0.006319
4.664458 0.021951 0.006317 0.000018 0.900000 0.006317
4.769277 0.021951 0.006169 0.000020 0.900000 0.006169
4.874096 0.021951 0.006054 0.000021 0.900000 0.006054
4.978916 0.021951 0.006100 0.000020 0.900000 0.006100
5.083735 0.021951 0.006318 0.000019 0.900000 0.006318
5.188554 0.021951 0.006623 0.000018 0.900000 0.006623
5.293373 0.021951 0.006871 0.000014 0.900000 0.006871
5.398193 0.021951 0.006951 0.000007 0.900000 0.006951
5.503012 0.021951 0.006875 -0.000001 0.900000 0.006875
5.607831 0.021951 0.006611 -0.000004 0.900000 0.006611
5.712651 0.021951 0.006130 -0.000006 0.900000 0.006130
5.817470 0.021951 0.005493 -0.000013 0.900000 0.005493
5.922289 0.021951 0.004759 -0.000027 0.900000 0.004759
6.027108 0.021951 0.003949 -0.000045 0.900000 0.003949
6.131928 0.021951 0.003072 -0.000062 0.900000 0.003072
6.236747 0.021951 0.002214 -0.000074 0.900000 0.002215
6.341566 0.021951 0.001464 -0.000081 0.900000 0.001466
6.446386 0.021951 0.000901 -0.000087 0.900000 0.000905
6.551205 0.021951 0.000574 -0.000089 0.900000 0.000581
6.656024 0.021951 0.000458 -0.000093 0.900000 0.000468
6.760843 0.021951 0.000580 -0.000103 0.900000 0.000589
6.865663 0.021951 0.000991 -0.000117 0.900000 0.000998
6.970482 0.021951 0.001676 -0.000124 0.900000 0.001681
7.075301 0.021951 0.002590 -0.000123 0.900000 0.002593
7.180120 0.021951 0.003691 -0.000118 0.900000 0.003693
7.284940 0.021951 0.004952 -0.000115 0.900000 0.004953
7.389759 0.021951 0.006341 -0.000118 0.900000 0.006342
7.494578 0.021951 0.007818 -0.000122 0.900000 0.007819
7.599398 0.021951 0.009257 -0.000122 0.900000 0.009257
7.704217 0.021951 0.010496 -0.000119 0.900000 0.010496
7.809036 0.021951 0.011487 -0.000114 0.900000 0.011487
7.913855 0.021951 0.012159 -0.000107 0.900000 0.012159
8.018675 0.021951 0.012415 -0.000102 0.900000 0.012415
8.123494 0.021951 0.012194 -0.000096 0.900000 0.012195
8.228313 0.021951 0.011310 -0.000081 0.900000 0.011311
8.333133 0.021951 0.009495 -0.000049 0.900000 0.009495
8.437952 0.021951 0.006574 -0.000019 0.900000 0.006574
8.542771 0.021951 0.002411 -0.000005 0.900000 0.002411
8.647590 0.021951 0.000000 0.000000 0.000000 0.000000
0.052410 0.036585 0.000000 0.000000 0.000000 0.000000
0.157229 0.036585 -0.003454 0.001634 0.900000 0.003821
0.262048 0.036585 -0.010559 0.001542 0.900000 0.010671
0.366867 0.036585 -0.017102 0.001447 0.900000 0.017163
0.471687 0.036585 -0.021953 0.001407 0.900000 0.021998
0.576506 0.036585 -0.025059 0.001412 0.900000 0.025099
0.681325 0.036585 -0.026788 0.001412 0.900000 0.026826
0.786145 0.036585 -0.027413 0.001431 0.900000 0.027450
0.890964 0.036585 -0.027155 0.001480 0.900000 0.027195
0.995783 0.036585 -0.026577 0.001562 0.900000 0.026623
1.100602 0.036585 -0.026004 0.001633 0.900000 0.026056
1.205422 0.036585 -0.025325 0.001645 0.900000 0.025378
1.310241 0.036585 -0.024372 0.001591 0.900000 0.024424
1.415060 0.036585 -0.023195 0.001592 0.900000 0.023249
1.519880 0.036585 -0.021952 0.001581 0.900000 0.022008
1.624699 0.036585 -0.020682 0.001556 0.900000 0.020741
1.729518 0.036585 -0.019398 0.001511 0.900000 0.019457
1.834337 0.036585 -0.018130 0.001481 0.900000 0.018190
1.939157 0.036585 -0.016902 0.001446 0.900000 0.016964
2.043976 0.036585 -0.015681 0.001390 0.900000 0.015743
2.148795 0.036585 -0.014408 0.001287 0.900000 0.014465
2.253614 0.036585 -0.013038 0.001170 0.900000 0.013091
2.358434 0.036585 -0.011717 0.001098 0.900000 0.011768
2.463253 0.036585 -0.010516 0.000981 0.900000 0.010562
2.568072 0.036585 -0.009422 0.000896 0.900000 0.009464
2.672892 0.036585 -0.008493 0.000829 0.900000 0.008533
2.777711 0.036585 -0.007706 0.000755 0.900000 0.007743
2.882530 0.036585 -0.007018 0.000669 0.900000 0.007049
2.987349 0.036585 -0.006353 0.000571 0.900000 0.006379
3.092169 0.036585 -0.005645 0.000462 0.900000 0.005663
3.196988 0.036585 -0.004921 0.000374 0.900000 0.004935
3.301807 0.036585 -0.004191 0.000324 0.900000 0.004204
3.406627 0.036585 -0.003357 0.000275 0.900000 0.003369
3.511446 0.036585 -0.002320 0.000230 0.900000 0.002331
3.616265 0.036585 -0.001121 0.000205 0.900000 0.001139
3.721084 0.036585 0.000126 0.000179 0.900000 0.000219
3.825904 0.036585 0.001318 0.000141 0.900000 0.001326
3.930723 0.036585 0.002374 0.000092 0.900000 0.002376
4.035542 0.036585 0.003339 0.000037 0.900000 0.003339
4.140361 0.036585 0.004234 0.000008 0.900000 0.004234
4.245181 0.036585 0.005001 0.000004 0.900000 0.005001
4.350000 0.036585 0.005603 0.000009 0.900000 0.005603
4.454819 0.036585 0.006038 0.000026 0.900000 0.006038
4.559639 0.036585 0.006275 0.000041 0.900000 0.006275
4.664458 0.036585 0.006274 0.000049 0.900000 0.006274
4.769277 0.036585 0.006133 0.000056 0.900000 0.006133
4.874096 0.036585 0.006026 0.000059 0.900000 0.006026
4.978916 0.036585 0.006074 0.000058 0.900000 0.006074
5.083735 0.036585 0.006287 0.000054 0.900000 0.006287
5.188554 0.036585 0.006585 0.000048 0.900000 0.006585
5.293373 0.036585 0.006828 0.000038 0.900000 0.006828
5.398193 0.036585 0.006909 0.000018 0.900000 0.006909
5.503012 0.036585 0.006841 -0.000005 0.900000 0.006841
5.607831 0.036585 0.006587 -0.000014 0.900000 0.006587
5.712651 0.036585 0.006111 -0.000022 0.900000 0.006111
5.817470 0.036585 0.005473 -0.000042 0.900000 0.005473
5.922289 0.036585 0.004737 -0.000085 0.900000 0.004737
6.027108 0.036585 0.003928 -0.000139 0.900000 0.003930
6.131928 0.036585 0.003057 -0.000188 0.900000 0.003063
6.236747 0.036585 0.002210 -0.000223 0.900000 0.002221
6.341566 0.036585 0.001470 -0.000246 0.900000 0.001491
6.446386 0.036585 0.000913 -0.000262 0.900000 0.000950
6.551205 0.036585 0.000586 -0.000269 0.900000 0.000645
6.656024 0.036585 0.000467 -0.000282 0.900000 0.000545
6.760843 0.036585 0.000585 -0.000312 0.900000 0.000663
6.865663 0.036585 0.000995 -0.000352 0.900000 0.001056
6.970482 0.036585 0.001685 -0.000375 0.900000 0.001726
7.075301 0.036585 0.002602 -0.000372 0.900000 0.002628
7.180120 0.036585 0.003701 -0.000356 0.900000 0.003718
