TITLE="(Vx,Vy)"
VARIABLES=X,MPR1,MPR2,MPR3
ZONE T="T-Dummy" I=1, J=1
0.000000 0.231349 0.231349 0.234147
0.005000 0.231349 0.231349 0.234147
0.005000 0.231349 0.231349 0.234147
0.010000 0.231348 0.231348 0.234147
0.010000 0.231348 0.231348 0.234147
0.015000 0.231348 0.231348 0.234147
0.015000 0.231348 0.231348 0.234147
0.020000 0.231347 0.231347 0.234147
0.020000 0.231347 0.231347 0.234147
0.025000 0.231347 0.231347 0.234147
0.025000 0.231347 0.231347 0.234147
0.030000 0.231346 0.231346 0.234147
0.030000 0.231346 0.231346 0.234147
0.035000 0.231345 0.231345 0.234147
0.035000 0.231345 0.231345 0.234147
0.040000 0.231343 0.231343 0.234147
0.040000 0.231343 0.231343 0.234147
0.045000 0.231342 0.231342 0.234147
0.045000 0.231342 0.231342 0.234147
0.050000 0.231339 0.231340 0.234147
0.050000 0.231339 0.231340 0.234147
0.055000 0.231337 0.231339 0.234147
0.055000 0.231337 0.231339 0.234147
0.060000 0.231334 0.231337 0.234147
0.060000 0.231334 0.231337 0.234147
0.065000 0.231332 0.231335 0.234148
0.065000 0.231332 0.231335 0.234148
0.070000 0.231329 0.231333 0.234149
0.070000 0.231329 0.231333 0.234149
0.075000 0.231326 0.231330 0.234150
0.075000 0.231326 0.231330 0.234150
0.080000 0.231323 0.231328 0.234150
0.080000 0.231323 0.231328 0.234150
0.085000 0.231320 0.231325 0.234152
0.085000 0.231320 0.231325 0.234152
0.090000 0.231317 0.231322 0.234153
0.090000 0.231317 0.231322 0.234153
0.095000 0.231313 0.231319 0.234154
0.095000 0.231313 0.231319 0.234154
0.100000 0.231309 0.231316 0.234156
0.100000 0.231309 0.231316 0.234156
0.105000 0.231305 0.231313 0.234157
0.105000 0.231305 0.231313 0.234157
0.110000 0.231301 0.231309 0.234159
0.110000 0.231301 0.231309 0.234159
0.115000 0.231297 0.231306 0.234161
0.115000 0.231297 0.231306 0.234161
0.120000 0.231295 0.231302 0.234163
0.120000 0.231295 0.231302 0.234163
0.125000 0.231295 0.231298 0.234165
0.125000 0.231295 0.231298 0.234165
0.130000 0.231294 0.231297 0.234167
0.130000 0.231294 0.231297 0.234167
0.135000 0.231294 0.231297 0.234169
0.135000 0.231294 0.231297 0.234169
0.140000 0.231293 0.231297 0.234171
0.140000 0.231293 0.231297 0.234171
0.145000 0.231294 0.231296 0.234174
0.145000 0.231294 0.231296 0.234174
0.150000 0.231297 0.231297 0.234177
0.150000 0.231297 0.231297 0.234177
0.155000 0.231301 0.231301 0.234179
0.155000 0.231301 0.231301 0.234179
0.160000 0.231305 0.231305 0.234182
0.160000 0.231305 0.231305 0.234182
0.165000 0.231309 0.231309 0.234185
0.165000 0.231309 0.231309 0.234185
0.170000 0.231313 0.231313 0.234188
0.170000 0.231313 0.231313 0.234188
0.175000 0.231317 0.231317 0.234191
0.175000 0.231317 0.231317 0.234191
0.180000 0.231321 0.231321 0.234195
0.180000 0.231321 0.231321 0.234195
0.185000 0.231326 0.231326 0.234198
0.185000 0.231326 0.231326 0.234198
0.190000 0.231331 0.231331 0.234202
0.190000 0.231331 0.231331 0.234202
0.195000 0.231335 0.231335 0.234205
0.195000 0.231335 0.231335 0.234205
0.200000 0.231340 0.231340 0.234209
0.200000 0.231340 0.231340 0.234209
0.205000 0.231345 0.231345 0.234213
0.205000 0.231345 0.231345 0.234213
0.210000 0.231351 0.231351 0.234217
0.210000 0.231351 0.231351 0.234217
0.215000 0.231356 0.231356 0.234221
0.215000 0.231356 0.231356 0.234221
0.220000 0.231362 0.231362 0.234225
0.220000 0.231362 0.231362 0.234225
0.225000 0.231367 0.231367 0.234229
0.225000 0.231367 0.231367 0.234229
0.230000 0.231373 0.231373 0.234234
0.230000 0.231373 0.231373 0.234234
0.235000 0.231379 0.231379 0.234238
0.235000 0.231379 0.231379 0.234238
0.240000 0.231385 0.231385 0.234243
0.240000 0.231385 0.231385 0.234243
0.245000 0.231391 0.231391 0.234247
0.245000 0.231391 0.231391 0.234247
0.250000 0.231397 0.231397 0.234252
0.250000 0.231397 0.231397 0.234252
0.255000 0.231404 0.231404 0.234257
0.255000 0.231404 0.231404 0.234257
0.260000 0.231410 0.231410 0.234262
0.260000 0.231410 0.231410 0.234262
0.265000 0.231417 0.231417 0.234267
0.265000 0.231417 0.231417 0.234267
0.270000 0.231424 0.231424 0.234272
0.270000 0.231424 0.231424 0.234272
0.275000 0.231431 0.231431 0.234277
0.275000 0.231431 0.231431 0.234277
0.280000 0.231438 0.231438 0.234283
0.280000 0.231438 0.231438 0.234283
0.285000 0.231445 0.231445 0.234288
0.285000 0.231445 0.231445 0.234288
0.290000 0.231452 0.231452 0.234293
0.290000 0.231452 0.231452 0.234293
0.295000 0.231459 0.231459 0.234299
0.295000 0.231459 0.231459 0.234299
0.300000 0.231467 0.231467 0.234305
0.300000 0.231467 0.231467 0.234305
0.305000 0.231474 0.231474 0.234310
0.305000 0.231474 0.231474 0.234310
0.310000 0.231482 0.231482 0.234316
0.310000 0.231482 0.231482 0.234316
0.315000 0.231490 0.231490 0.234322
0.315000 0.231490 0.231490 0.234322
0.320000 0.231496 0.231498 0.234328
0.320000 0.231496 0.231498 0.234328
0.325000 0.231504 0.231506 0.234334
0.325000 0.231504 0.231506 0.234334
0.330000 0.231512 0.231514 0.234340
0.330000 0.231512 0.231514 0.234340
0.335000 0.231520 0.231522 0.234346
0.335000 0.231520 0.231522 0.234346
0.340000 0.231529 0.231530 0.234352
0.340000 0.231529 0.231530 0.234352
0.345000 0.231537 0.231539 0.234359
0.345000 0.231537 0.231539 0.234359
0.350000 0.231545 0.231547 0.234365
0.350000 0.231545 0.231547 0.234365
0.355000 0.231554 0.231556 0.234371
0.355000 0.231554 0.231556 0.234371
0.360000 0.231563 0.231564 0.234378
0.360000 0.231563 0.231564 0.234378
0.365000 0.231571 0.231573 0.234384
0.365000 0.231571 0.231573 0.234384
0.370000 0.231580 0.231582 0.234391
0.370000 0.231580 0.231582 0.234391
0.375000 0.231589 0.231591 0.234398
0.375000 0.231589 0.231591 0.234398
0.380000 0.231598 0.231600 0.234404
0.380000 0.231598 0.231600 0.234404
0.385000 0.231607 0.231609 0.234411
0.385000 0.231607 0.231609 0.234411
0.390000 0.231616 0.231618 0.234418
0.390000 0.231616 0.231618 0.234418
0.395000 0.231625 0.231627 0.234425
0.395000 0.231625 0.231627 0.234425
0.400000 0.231634 0.231636 0.234432
0.400000 0.231634 0.231636 0.234432
0.405000 0.231644 0.231645 0.234439
0.405000 0.231644 0.231645 0.234439
0.410000 0.231653 0.231655 0.234446
0.410000 0.231653 0.231655 0.234446
0.415000 0.231662 0.231664 0.234453
0.415000 0.231662 0.231664 0.234453
0.420000 0.231672 0.231674 0.234460
0.420000 0.231672 0.231674 0.234460
0.425000 0.231681 0.231683 0.234467
0.425000 0.231681 0.231683 0.234467
0.430000 0.231691 0.231693 0.234474
0.430000 0.231691 0.231693 0.234474
0.435000 0.231701 0.231703 0.234482
0.435000 0.231701 0.231703 0.234482
0.440000 0.231710 0.231712 0.234489
0.440000 0.231710 0.231712 0.234489
0.445000 0.231720 0.231722 0.234496
0.445000 0.231720 0.231722 0.234496
0.450000 0.231730 0.231732 0.234504
0.450000 0.231730 0.231732 0.234504
0.455000 0.231740 0.231742 0.234511
0.455000 0.231740 0.231742 0.234511
0.460000 0.231749 0.231752 0.234518
0.460000 0.231749 0.231752 0.234518
0.465000 0.231759 0.231762 0.234526
0.465000 0.231759 0.231762 0.234526
0.470000 0.231769 0.231772 0.234533
0.470000 0.231769 0.231772 0.234533
0.475000 0.231779 0.231782 0.234541
0.475000 0.231779 0.231782 0.234541
0.480000 0.231789 0.231792 0.234548
0.480000 0.231789 0.231792 0.234548
0.485000 0.231799 0.231802 0.234556
0.485000 0.231799 0.231802 0.234556
0.490000 0.231809 0.231812 0.234563
0.490000 0.231809 0.231812 0.234563
0.495000 0.231820 0.231822 0.234571
0.495000 0.231820 0.231822 0.234571
0.500000 0.231830 0.231832 0.234578
0.500000 0.231830 0.231832 0.234578
0.505000 0.231840 0.231842 0.234586
0.505000 0.231840 0.231842 0.234586
0.510000 0.231850 0.231853 0.234593
0.510000 0.231850 0.231853 0.234593
0.515000 0.231860 0.231863 0.234601
0.515000 0.231860 0.231863 0.234601
0.520000 0.231870 0.231873 0.234608
0.520000 0.231870 0.231873 0.234608
0.525000 0.231881 0.231883 0.234616
0.525000 0.231881 0.231883 0.234616
0.530000 0.231891 0.231893 0.234624
0.530000 0.231891 0.231893 0.234624
0.535000 0.231901 0.231904 0.234631
0.535000 0.231901 0.231904 0.234631
0.540000 0.231911 0.231914 0.234639
0.540000 0.231911 0.231914 0.234639
0.545000 0.231922 0.231924 0.234646
0.545000 0.231922 0.231924 0.234646
0.550000 0.231932 0.231935 0.234654
0.550000 0.231932 0.231935 0.234654
0.555000 0.231942 0.231945 0.234662
0.555000 0.231942 0.231945 0.234662
0.560000 0.231952 0.231955 0.234669
0.560000 0.231952 0.231955 0.234669
0.565000 0.231962 0.231965 0.234677
0.565000 0.231962 0.231965 0.234677
0.570000 0.231973 0.231976 0.234684
0.570000 0.231973 0.231976 0.234684
0.575000 0.231983 0.231986 0.234692
0.575000 0.231983 0.231986 0.234692
0.580000 0.231993 0.231996 0.234699
0.580000 0.231993 0.231996 0.234699
0.585000 0.232003 0.232006 0.234707
0.585000 0.232003 0.232006 0.234707
0.590000 0.232013 0.232017 0.234714
0.590000 0.232013 0.232017 0.234714
0.595000 0.232024 0.232027 0.234722
0.595000 0.232024 0.232027 0.234722
0.600000 0.232034 0.232037 0.234729
0.600000 0.232034 0.232037 0.234729
0.605000 0.232044 0.232047 0.234736
0.605000 0.232044 0.232047 0.234736
0.610000 0.232054 0.232057 0.234744
0.610000 0.232054 0.232057 0.234744
0.615000 0.232064 0.232067 0.234751
0.615000 0.232064 0.232067 0.234751
0.620000 0.232074 0.232077 0.234758
0.620000 0.232074 0.232077 0.234758
0.625000 0.232084 0.232087 0.234766
0.625000 0.232084 0.232087 0.234766
0.630000 0.232094 0.232097 0.234773
0.630000 0.232094 0.232097 0.234773
0.635000 0.232104 0.232107 0.234780
0.635000 0.232104 0.232107 0.234780
0.640000 0.232113 0.232117 0.234787
0.640000 0.232113 0.232117 0.234787
0.645000 0.232123 0.232127 0.234794
0.645000 0.232123 0.232127 0.234794
0.650000 0.232133 0.232137 0.234801
0.650000 0.232133 0.232137 0.234801
0.655000 0.232143 0.232147 0.234808
0.655000 0.232143 0.232147 0.234808
0.660000 0.232152 0.232156 0.234815
0.660000 0.232152 0.232156 0.234815
0.665000 0.232162 0.232166 0.234822
0.665000 0.232162 0.232166 0.234822
0.670000 0.232172 0.232175 0.234829
0.670000 0.232172 0.232175 0.234829
0.675000 0.232181 0.232185 0.234836
0.675000 0.232181 0.232185 0.234836
0.680000 0.232191 0.232195 0.234843
0.680000 0.232191 0.232195 0.234843
0.685000 0.232200 0.232204 0.234849
0.685000 0.232200 0.232204 0.234849
0.690000 0.232209 0.232213 0.234856
0.690000 0.232209 0.232213 0.234856
0.695000 0.232218 0.232223 0.234862
0.695000 0.232218 0.232223 0.234862
0.700000 0.232228 0.232232 0.234869
0.700000 0.232228 0.232232 0.234869
0.705000 0.232237 0.232241 0.234875
0.705000 0.232237 0.232241 0.234875
0.710000 0.232246 0.232250 0.234882
0.710000 0.232246 0.232250 0.234882
0.715000 0.232255 0.232259 0.234888
0.715000 0.232255 0.232259 0.234888
0.720000 0.232264 0.232268 0.234894
0.720000 0.232264 0.232268 0.234894
0.725000 0.232272 0.232277 0.234901
0.725000 0.232272 0.232277 0.234901
0.730000 0.232281 0.232286 0.234907
0.730000 0.232281 0.232286 0.234907
0.735000 0.232290 0.232294 0.234913
0.735000 0.232290 0.232294 0.234913
0.740000 0.232298 0.232303 0.234919
0.740000 0.232298 0.232303 0.234919
0.745000 0.232307 0.232312 0.234924
0.745000 0.232307 0.232312 0.234924
0.750000 0.232315 0.232320 0.234930
0.750000 0.232315 0.232320 0.234930
0.755000 0.232324 0.232328 0.234936
0.755000 0.232324 0.232328 0.234936
0.760000 0.232332 0.232337 0.234942
0.760000 0.232332 0.232337 0.234942
0.765000 0.232340 0.232345 0.234947
0.765000 0.232340 0.232345 0.234947
0.770000 0.232348 0.232353 0.234953
0.770000 0.232348 0.232353 0.234953
0.775000 0.232356 0.232361 0.234958
0.775000 0.232356 0.232361 0.234958
0.780000 0.232364 0.232369 0.234963
0.780000 0.232364 0.232369 0.234963
0.785000 0.232371 0.232377 0.234968
0.785000 0.232371 0.232377 0.234968
0.790000 0.232379 0.232384 0.234974
0.790000 0.232379 0.232384 0.234974
0.795000 0.232387 0.232392 0.234979
0.795000 0.232387 0.232392 0.234979
0.800000 0.232394 0.232399 0.234984
0.800000 0.232394 0.232399 0.234984
0.805000 0.232401 0.232407 0.234988
0.805000 0.232401 0.232407 0.234988
0.810000 0.232408 0.232414 0.234993
0.810000 0.232408 0.232414 0.234993
0.815000 0.232415 0.232421 0.234998
