TITLE="(Vx,Vy)"
VARIABLES=X,Y,jx,jy,Jm,T
ZONE T="T-Dummy" I=83, J=41, F=POINT
0.052410 0.007317 0.000000 0.000000 0.000000 411.966523
0.157229 0.007317 0.000000 0.000000 0.000000 627.880476
0.262048 0.007317 0.000000 0.000000 0.000000 633.289474
0.366867 0.007317 0.000000 0.000000 0.000000 633.373575
0.471687 0.007317 0.000000 0.000000 0.000000 633.374639
0.576506 0.007317 0.000000 0.000000 0.000000 633.374653
0.681325 0.007317 0.000000 0.000000 0.000000 633.374702
0.786145 0.007317 0.000000 0.000000 0.000000 633.374704
0.890964 0.007317 0.000000 0.000000 0.000000 633.374704
0.995783 0.007317 0.000000 0.000000 0.000000 633.374703
1.100602 0.007317 0.000000 0.000000 0.000000 633.374703
1.205422 0.007317 0.000000 0.000000 0.000000 633.374702
1.310241 0.007317 0.000000 0.000000 0.000000 633.374702
1.415060 0.007317 0.000000 0.000000 0.000000 633.374701
1.519880 0.007317 0.000000 0.000000 0.000000 633.374700
1.624699 0.007317 0.000000 0.000000 0.000000 633.374700
1.729518 0.007317 0.000000 0.000000 0.000000 633.374699
1.834337 0.007317 0.000000 0.000000 0.000000 633.374699
1.939157 0.007317 0.000000 0.000000 0.000000 633.374698
2.043976 0.007317 0.000000 0.000000 0.000000 633.374698
2.148795 0.007317 0.000000 0.000000 0.000000 633.374697
2.253614 0.007317 0.000000 0.000000 0.000000 633.374696
2.358434 0.007317 0.000000 0.000000 0.000000 633.374696
2.463253 0.007317 0.000000 0.000000 0.000000 633.374695
2.568072 0.007317 0.000000 0.000000 0.000000 633.374694
2.672892 0.007317 0.000000 0.000000 0.000000 633.374694
2.777711 0.007317 0.000000 0.000000 0.000000 633.374693
2.882530 0.007317 0.000000 0.000000 0.000000 633.374692
2.987349 0.007317 0.000000 0.000000 0.000000 633.374690
3.092169 0.007317 0.000000 0.000000 0.000000 633.374690
3.196988 0.007317 0.000000 0.000000 0.000000 633.374689
3.301807 0.007317 0.000000 0.000000 0.000000 633.374687
3.406627 0.007317 0.000000 0.000000 0.000000 633.374686
3.511446 0.007317 0.000000 0.000000 0.000000 633.374685
3.616265 0.007317 0.000000 0.000000 0.000000 633.374685
3.721084 0.007317 0.000000 0.000000 0.000000 633.374684
3.825904 0.007317 0.000000 0.000000 0.000000 633.374682
3.930723 0.007317 0.000000 0.000000 0.000000 633.374681
4.035542 0.007317 0.000000 0.000000 0.000000 633.374681
4.140361 0.007317 0.000000 0.000000 0.000000 633.374680
4.245181 0.007317 0.000000 0.000000 0.000000 633.374679
4.350000 0.007317 0.000000 0.000000 0.000000 633.374677
4.454819 0.007317 0.000000 0.000000 0.000000 633.374677
4.559639 0.007317 0.000000 0.000000 0.000000 633.374676
4.664458 0.007317 0.000000 0.000000 0.000000 633.374676
4.769277 0.007317 0.000000 0.000000 0.000000 633.374675
4.874096 0.007317 0.000000 0.000000 0.000000 633.374674
4.978916 0.007317 0.000000 0.000000 0.000000 633.374673
5.083735 0.007317 0.000000 0.000000 0.000000 633.374672
5.188554 0.007317 0.000000 0.000000 0.000000 633.374672
5.293373 0.007317 0.000000 0.000000 0.000000 633.374671
5.398193 0.007317 0.000000 0.000000 0.000000 633.374670
5.503012 0.007317 0.000000 0.000000 0.000000 633.374669
5.607831 0.007317 0.000000 0.000000 0.000000 633.374669
5.712651 0.007317 0.000000 0.000000 0.000000 633.374668
5.817470 0.007317 0.000000 0.000000 0.000000 633.374667
5.922289 0.007317 0.000000 0.000000 0.000000 633.374667
6.027108 0.007317 0.000000 0.000000 0.000000 633.374665
6.131928 0.007317 0.000000 0.000000 0.000000 633.374665
6.236747 0.007317 0.000000 0.000000 0.000000 633.374665
6.341566 0.007317 0.000000 0.000000 0.000000 633.374664
6.446386 0.007317 0.000000 0.000000 0.000000 633.374663
6.551205 0.007317 0.000000 0.000000 0.000000 633.374663
6.656024 0.007317 0.000000 0.000000 0.000000 633.374662
6.760843 0.007317 0.000000 0.000000 0.000000 633.374662
6.865663 0.007317 0.000000 0.000000 0.000000 633.374661
6.970482 0.007317 0.000000 0.000000 0.000000 633.374661
7.075301 0.007317 0.000000 0.000000 0.000000 633.374660
7.180120 0.007317 0.000000 0.000000 0.000000 633.374660
7.284940 0.007317 0.000000 0.000000 0.000000 633.374660
7.389759 0.007317 0.000000 0.000000 0.000000 633.374659
7.494578 0.007317 0.000000 0.000000 0.000000 633.374659
7.599398 0.007317 0.000000 0.000000 0.000000 633.374659
7.704217 0.007317 0.000000 0.000000 0.000000 633.374659
7.809036 0.007317 0.000000 0.000000 0.000000 633.374658
7.913855 0.007317 0.000000 0.000000 0.000000 633.374658
8.018675 0.007317 0.000000 0.000000 0.000000 633.374656
8.123494 0.007317 0.000000 0.000000 0.000000 633.374606
8.228313 0.007317 0.000000 0.000000 0.000000 633.374591
8.333133 0.007317 0.000000 0.000000 0.000000 633.373465
8.437952 0.007317 0.000000 0.000000 0.000000 633.284292
8.542771 0.007317 0.000000 0.000000 0.000000 627.523701
8.647590 0.007317 0.000000 0.000000 0.000000 394.790775
0.052410 0.021951 0.000000 0.000000 0.000000 524.971933
0.157229 0.021951 337.776611 -47.574646 341.112244 961.387729
0.262048 0.021951 1110.810547 -59.137276 1112.384521 968.409255
0.366867 0.021951 2206.146973 -85.655838 2207.810059 968.481369
0.471687 0.021951 4017.464844 -145.327972 4020.093750 968.482002
0.576506 0.021951 8384.579102 -421.158813 8395.153320 968.482008
0.681325 0.021951 6481.804199 -5643.270508 8594.712891 968.482031
0.786145 0.021951 906.006104 -3852.542480 3957.927002 968.482031
0.890964 0.021951 333.977173 -3097.078125 3115.109375 968.482030
0.995783 0.021951 158.613312 -2713.218994 2717.865967 968.482030
1.100602 0.021951 61.411282 -2541.620117 2542.362061 968.482029
1.205422 0.021951 13.423658 -2501.572754 2501.611328 968.482028
1.310241 0.021951 5.249262 -2500.218750 2500.226562 968.482028
1.415060 0.021951 16.319565 -2486.380371 2486.434570 968.482026
1.519880 0.021951 31.196629 -2443.095215 2443.294434 968.482023
1.624699 0.021951 36.808563 -2374.052734 2374.338379 968.482023
1.729518 0.021951 20.058357 -2308.703613 2308.790771 968.482022
1.834337 0.021951 -10.659750 -2300.646973 2300.672363 968.482020
1.939157 0.021951 -26.274427 -2349.198975 2349.347656 968.482019
2.043976 0.021951 -18.004961 -2398.191650 2398.260010 968.482018
2.148795 0.021951 1.652070 -2415.361084 2415.361816 968.482017
2.253614 0.021951 21.739082 -2392.468018 2392.566895 968.482016
2.358434 0.021951 30.731342 -2336.143799 2336.346924 968.482014
2.463253 0.021951 15.887280 -2279.248535 2279.304199 968.482014
2.568072 0.021951 -14.180616 -2277.208008 2277.252686 968.482012
2.672892 0.021951 -29.614410 -2332.080811 2332.270020 968.482011
2.777711 0.021951 -20.384787 -2386.708984 2386.796631 968.482009
2.882530 0.021951 1.026196 -2406.856934 2406.857422 968.482007
2.987349 0.021951 23.331459 -2383.272461 2383.387695 968.482004
3.092169 0.021951 36.940002 -2322.161377 2322.458008 968.482004
3.196988 0.021951 29.831661 -2248.005615 2248.207520 968.482002
3.301807 0.021951 0.214462 -2211.811523 2211.813232 968.481996
3.406627 0.021951 -23.363499 -2247.652344 2247.773682 968.481995
3.511446 0.021951 -21.115803 -2298.932617 2299.029785 968.481993
3.616265 0.021951 0.615515 -2326.116699 2326.116699 968.481992
3.721084 0.021951 23.053703 -2296.775879 2296.891602 968.481991
3.825904 0.021951 30.605827 -2241.253906 2241.463135 968.481987
3.930723 0.021951 16.693830 -2184.302246 2184.366211 968.481985
4.035542 0.021951 -12.113422 -2179.621582 2179.655518 968.481984
4.140361 0.021951 -27.230961 -2229.553711 2229.720947 968.481983
4.245181 0.021951 -19.080429 -2280.149658 2280.229736 968.481981
4.350000 0.021951 0.294125 -2299.140625 2299.140625 968.481978
4.454819 0.021951 19.934029 -2278.924805 2279.012695 968.481977
4.559639 0.021951 29.226416 -2226.312988 2226.505615 968.481976
4.664458 0.021951 17.000656 -2171.380127 2171.446777 968.481975
4.769277 0.021951 -9.738742 -2163.487549 2163.511230 968.481974
4.874096 0.021951 -24.514896 -2208.070801 2208.210693 968.481972
4.978916 0.021951 -17.387882 -2254.602539 2254.670898 968.481969
5.083735 0.021951 1.135652 -2272.096680 2272.096924 968.481968
5.188554 0.021951 21.947281 -2250.898193 2251.005859 968.481967
5.293373 0.021951 35.528042 -2192.604492 2192.894531 968.481966
5.398193 0.021951 30.674778 -2121.194824 2121.420166 968.481964
5.503012 0.021951 4.171583 -2079.495850 2079.500732 968.481961
5.607831 0.021951 -17.364677 -2106.561523 2106.633545 968.481961
5.712651 0.021951 -14.163773 -2144.963379 2145.010498 968.481960
5.817470 0.021951 2.042268 -2159.090820 2159.091797 968.481958
5.922289 0.021951 20.043177 -2137.931396 2138.025635 968.481957
6.027108 0.021951 29.207581 -2086.188721 2086.393555 968.481954
6.131928 0.021951 15.825836 -2030.409424 2030.471191 968.481954
6.236747 0.021951 -10.723689 -2027.700439 2027.729248 968.481953
6.341566 0.021951 -21.469519 -2070.950928 2071.062988 968.481952
6.446386 0.021951 -7.072418 -2108.012207 2108.025391 968.481951
6.551205 0.021951 17.442760 -2097.205566 2097.280029 968.481949
6.656024 0.021951 31.920471 -2043.758301 2044.007446 968.481949
6.760843 0.021951 30.926807 -1980.909912 1981.151367 968.481948
6.865663 0.021951 13.457872 -1930.912109 1930.959473 968.481947
6.970482 0.021951 -13.291458 -1931.251465 1931.297119 968.481946
7.075301 0.021951 -27.078068 -1979.869141 1980.054565 968.481945
7.180120 0.021951 -20.561432 -2030.453857 2030.557983 968.481944
7.284940 0.021951 -2.278880 -2054.542236 2054.543701 968.481943
7.389759 0.021951 18.789057 -2038.445068 2038.534424 968.481943
7.494578 0.021951 13.613540 -1982.185547 1982.240967 968.481942
7.599398 0.021951 -36.233814 -1981.679443 1982.011841 968.481942
7.704217 0.021951 -129.020355 -2104.350586 2108.315674 968.481941
7.809036 0.021951 -308.807037 -2429.452637 2449.109863 968.481941
7.913855 0.021951 -898.415588 -3150.909180 3276.918457 968.481940
8.018675 0.021951 -6278.511719 -4977.428223 8012.734375 968.481939
8.123494 0.021951 -8365.058594 -361.693726 8372.875977 968.481915
8.228313 0.021951 -4451.585449 -131.192566 4453.518555 968.481908
8.333133 0.021951 -2664.829834 -87.285553 2666.259277 968.481241
8.437952 0.021951 -1437.270020 -69.856659 1438.972168 968.405173
8.542771 0.021951 -454.286804 -62.095947 458.514587 960.972757
8.647590 0.021951 0.000000 0.000000 0.000000 494.865419
0.052410 0.036585 0.000000 0.000000 0.000000 626.211160
0.157229 0.036585 336.162170 -142.516556 365.137512 1137.803689
0.262048 0.036585 1105.493530 -177.141571 1119.603271 1144.851393
0.366867 0.036585 2194.112793 -256.346680 2209.044434 1144.909870
0.471687 0.036585 3970.622559 -431.806030 3994.044189 1144.910251
0.576506 0.036585 7616.991211 -1167.048340 7705.914551 1144.910253
0.681325 0.036585 6002.735352 -10679.474609 12251.583984 1144.910262
0.786145 0.036585 1261.487549 -7590.663086 7695.059570 1144.910262
0.890964 0.036585 493.041473 -6140.934570 6160.774414 1144.910262
0.995783 0.036585 236.162445 -5385.021973 5390.213379 1144.910261
1.100602 0.036585 90.959831 -5047.788086 5048.607422 1144.910261
1.205422 0.036585 19.203867 -4973.893066 4973.932617 1144.910261
1.310241 0.036585 7.370347 -4974.884766 4974.892578 1144.910261
1.415060 0.036585 24.294701 -4948.800293 4948.860352 1144.910260
1.519880 0.036585 46.878983 -4862.521484 4862.747070 1144.910258
1.624699 0.036585 55.571411 -4723.150391 4723.477539 1144.910259
1.729518 0.036585 30.306778 -4589.742676 4589.842773 1144.910258
1.834337 0.036585 -16.313454 -4573.870117 4573.900391 1144.910258
1.939157 0.036585 -39.892944 -4674.250000 4674.421875 1144.910258
2.043976 0.036585 -27.242039 -4774.195312 4774.273438 1144.910257
2.148795 0.036585 2.451145 -4809.092773 4809.093750 1144.910257
2.253614 0.036585 32.798836 -4763.022949 4763.136230 1144.910257
2.358434 0.036585 46.538250 -4648.584961 4648.818848 1144.910257
2.463253 0.036585 24.115461 -4531.745117 4531.809570 1144.910257
2.568072 0.036585 -21.556686 -4527.575195 4527.626953 1144.910257
2.672892 0.036585 -44.902168 -4640.540039 4640.758789 1144.910257
2.777711 0.036585 -30.824545 -4751.824219 4751.924805 1144.910257
2.882530 0.036585 1.505970 -4792.765137 4792.765137 1144.910255
2.987349 0.036585 35.156094 -4745.300781 4745.431641 1144.910254
3.092169 0.036585 55.825031 -4621.646484 4621.986328 1144.910256
3.196988 0.036585 45.237915 -4470.244141 4470.477539 1144.910255
3.301807 0.036585 0.263787 -4395.560547 4395.562012 1144.910250
3.406627 0.036585 -35.526764 -4470.178711 4470.319824 1144.910250
3.511446 0.036585 -32.070457 -4575.078125 4575.190430 1144.910249
3.616265 0.036585 0.916651 -4631.447266 4631.447266 1144.910250
3.721084 0.036585 34.901642 -4570.819336 4570.952637 1144.910250
3.825904 0.036585 46.308594 -4458.183594 4458.424316 1144.910247
3.930723 0.036585 25.298512 -4341.507324 4341.581055 1144.910246
4.035542 0.036585 -18.431133 -4332.088867 4332.128418 1144.910247
4.140361 0.036585 -41.266022 -4434.878906 4435.071777 1144.910247
4.245181 0.036585 -28.795662 -4537.743164 4537.834961 1144.910247
4.350000 0.036585 0.465113 -4575.958008 4575.958008 1144.910243
4.454819 0.036585 30.101709 -4535.043945 4535.144043 1144.910245
4.559639 0.036585 44.241066 -4428.134277 4428.355957 1144.910245
4.664458 0.036585 25.771931 -4315.566895 4315.644043 1144.910246
4.769277 0.036585 -14.861233 -4299.499023 4299.526367 1144.910247
4.874096 0.036585 -37.235764 -4391.726074 4391.887695 1144.910246
4.978916 0.036585 -26.326733 -4486.801758 4486.879883 1144.910243
5.083735 0.036585 1.652826 -4522.424805 4522.425293 1144.910244
5.188554 0.036585 33.045418 -4479.930664 4480.053711 1144.910245
5.293373 0.036585 53.636322 -4362.081055 4362.413086 1144.910245
5.398193 0.036585 46.466228 -4216.767090 4217.026855 1144.910244
5.503012 0.036585 6.214581 -4130.858398 4130.863770 1144.910242
5.607831 0.036585 -26.504807 -4187.954102 4188.038574 1144.910243
5.712651 0.036585 -21.497545 -4266.807129 4266.861328 1144.910243
5.817470 0.036585 3.024008 -4295.728516 4295.729492 1144.910243
5.922289 0.036585 30.221260 -4253.159180 4253.266602 1144.910243
6.027108 0.036585 44.219063 -4148.232422 4148.468262 1144.910240
6.131928 0.036585 23.991547 -4033.666016 4033.737549 1144.910242
6.236747 0.036585 -16.383808 -4028.476074 4028.509766 1144.910242
6.341566 0.036585 -32.682114 -4118.025391 4118.156250 1144.910242
6.446386 0.036585 -10.737944 -4194.352051 4194.367188 1144.910241
6.551205 0.036585 26.413486 -4171.933594 4172.019043 1144.910240
6.656024 0.036585 48.156918 -4063.095947 4063.381348 1144.910240
6.760843 0.036585 46.681602 -3936.371582 3936.648438 1144.910241
6.865663 0.036585 20.390820 -3834.265869 3834.320312 1144.910240
6.970482 0.036585 -20.126495 -3834.837891 3834.890625 1144.910240
7.075301 0.036585 -40.928040 -3934.302246 3934.515625 1144.910240
7.180120 0.036585 -30.986794 -4036.697510 4036.816406 1144.910240
7.284940 0.036585 -3.394538 -4085.281250 4085.282959 1144.910239
7.389759 0.036585 28.891010 -4052.587402 4052.693359 1144.910239
7.494578 0.036585 21.538750 -3932.991211 3933.059570 1144.910239
7.599398 0.036585 -53.289654 -3927.081543 3927.444824 1144.910239
7.704217 0.036585 -191.535400 -4166.291992 4170.706055 1144.910239
7.809036 0.036585 -454.920502 -4802.278320 4823.891602 1144.910239
7.913855 0.036585 -1254.146851 -6181.843262 6308.218750 1144.910239
8.018675 0.036585 -5889.102539 -9362.401367 11061.451172 1144.910238
8.123494 0.036585 -7688.463867 -999.542725 7753.174805 1144.910230
8.228313 0.036585 -4413.276367 -389.926575 4430.469238 1144.910227
8.333133 0.036585 -2656.267578 -261.357788 2669.097656 1144.909822
8.437952 0.036585 -1433.753784 -209.411133 1449.014404 1144.847598
8.542771 0.036585 -453.203491 -186.159912 489.974976 1137.319177
8.647590 0.036585 0.000000 0.000000 0.000000 586.515456
0.052410 0.051220 0.000000 0.000000 0.000000 713.161892
0.157229 0.051220 332.942383 -236.837524 408.612091 1203.903756
0.262048 0.051220 1094.917969 -294.340759 1133.811035 1210.016495
0.366867 0.051220 2170.591797 -425.237030 2211.873535 1210.061839
0.471687 0.051220 3890.317383 -707.477417 3954.154785 1210.062089
0.576506 0.051220 6953.867188 -1741.918701 7168.821289 1210.062090
0.681325 0.051220 5584.980957 -9569.665039 11080.970703 1210.062092
0.786145 0.051220 1539.645264 -7344.588867 7504.628906 1210.062093
0.890964 0.051220 641.913452 -6022.515625 6056.745117 1210.062092
0.995783 0.051220 311.230774 -5292.551758 5301.717773 1210.062092
1.100602 0.051220 118.810257 -4968.865234 4970.285645 1210.062092
1.205422 0.051220 23.601913 -4909.389648 4909.451660 1210.062092
1.310241 0.051220 8.752500 -4918.923828 4918.936523 1210.062092
1.415060 0.051220 32.006966 -4896.463379 4896.569336 1210.062091
1.519880 0.051220 62.700325 -4810.802734 4811.210938 1210.062090
1.624699 0.051220 74.892036 -4668.359375 4668.960938 1210.062091
1.729518 0.051220 40.899780 -4528.453613 4528.638184 1210.062090
1.834337 0.051220 -22.458118 -4513.115234 4513.172852 1210.062090
1.939157 0.051220 -54.242371 -4621.259766 4621.581055 1210.062090
2.043976 0.051220 -36.830765 -4725.788086 4725.933594 1210.062090
2.148795 0.051220 3.211823 -4761.968750 4761.970215 1210.062090
2.253614 0.051220 44.148109 -4715.237305 4715.444336 1210.062090
2.358434 0.051220 63.020729 -4596.584961 4597.018555 1210.062090
2.463253 0.051220 32.781807 -4472.485840 4472.606445 1210.062091
2.568072 0.051220 -29.369776 -4468.090820 4468.188477 1210.062090
2.672892 0.051220 -60.922592 -4588.708984 4589.115234 1210.062090
2.777711 0.051220 -41.637413 -4704.750488 4704.935547 1210.062092
2.882530 0.051220 1.937036 -4747.188477 4747.189453 1210.062089
2.987349 0.051220 47.221855 -4699.026367 4699.265137 1210.062089
3.092169 0.051220 75.341415 -4572.020508 4572.645508 1210.062092
3.196988 0.051220 61.396236 -4413.309082 4413.743652 1210.062089
3.301807 0.051220 0.223656 -4333.119141 4333.122559 1210.062087
3.406627 0.051220 -48.426529 -4414.767578 4415.033691 1210.062086
3.511446 0.051220 -43.631046 -4525.144043 4525.354492 1210.062086
3.616265 0.051220 1.210086 -4586.315918 4586.316406 1210.062087
3.721084 0.051220 47.243546 -4520.981445 4521.228516 1210.062087
3.825904 0.051220 62.620758 -4404.625977 4405.071289 1210.062085
3.930723 0.051220 34.298336 -4281.368164 4281.504883 1210.062085
4.035542 0.051220 -25.149319 -4271.810547 4271.885254 1210.062086
4.140361 0.051220 -55.943008 -4381.562012 4381.920898 1210.062086
4.245181 0.051220 -38.776909 -4488.360352 4488.528320 1210.062086
4.350000 0.051220 0.671003 -4527.113281 4527.113281 1210.062084
4.454819 0.051220 40.572113 -4485.084961 4485.268555 1210.062084
4.559639 0.051220 59.868210 -4374.218750 4374.629883 1210.062085
4.664458 0.051220 34.959862 -4255.234863 4255.378418 1210.062086
4.769277 0.051220 -20.371540 -4238.472168 4238.524414 1210.062086
4.874096 0.051220 -50.664841 -4337.997559 4338.300781 1210.062085
4.978916 0.051220 -35.635170 -4437.802734 4437.948242 1210.062084
5.083735 0.051220 2.094916 -4474.896484 4474.897461 1210.062085
5.188554 0.051220 44.333366 -4432.173828 4432.396973 1210.062085
5.293373 0.051220 72.269135 -4311.355957 4311.965332 1210.062086
5.398193 0.051220 62.956566 -4160.152832 4160.635742 1210.062085
5.503012 0.051220 8.194230 -4068.194092 4068.203613 1210.062084
5.607831 0.051220 -36.344963 -4132.384766 4132.545410 1210.062084
5.712651 0.051220 -29.210449 -4216.041992 4216.143555 1210.062084
5.817470 0.051220 3.947691 -4246.506836 4246.508301 1210.062085
5.922289 0.051220 40.635551 -4203.351074 4203.547852 1210.062084
6.027108 0.051220 59.851688 -4095.057373 4095.495117 1210.062083
6.131928 0.051220 32.545368 -3973.349121 3973.482422 1210.062084
6.236747 0.051220 -22.501369 -3968.682129 3968.746338 1210.062084
6.341566 0.051220 -44.627998 -4065.497559 4065.743652 1210.062085
6.446386 0.051220 -14.598696 -4147.050781 4147.079590 1210.062084
6.551205 0.051220 35.767830 -4122.670898 4122.829102 1210.062083
6.656024 0.051220 64.808037 -4009.233643 4009.757324 1210.062083
6.760843 0.051220 62.874504 -3880.190918 3880.700684 1210.062083
6.865663 0.051220 27.633324 -3773.078369 3773.180176 1210.062083
6.970482 0.051220 -27.257885 -3773.416504 3773.514648 1210.062084
7.075301 0.051220 -55.260361 -3878.224609 3878.618408 1210.062086
7.180120 0.051220 -41.640091 -3983.531250 3983.749023 1210.062085
7.284940 0.051220 -4.497311 -4033.125977 4033.128662 1210.062084
7.389759 0.051220 40.050793 -3999.519531 3999.725098 1210.062085
7.494578 0.051220 31.135798 -3863.149902 3863.291992 1210.062085
7.599398 0.051220 -68.805702 -3846.067871 3846.686035 1210.062085
7.704217 0.051220 -251.209381 -4071.365234 4079.127441 1210.062084
7.809036 0.051220 -590.204590 -4675.702148 4712.971680 1210.062085
7.913855 0.051220 -1535.068970 -5921.767578 6118.095703 1210.062085
8.018675 0.051220 -5554.996582 -8271.199219 9964.447266 1210.062084
8.123494 0.051220 -7112.386719 -1486.215088 7266.033203 1210.062081
8.228313 0.051220 -4348.526855 -639.238647 4395.262695 1210.062080
8.333133 0.051220 -2639.628418 -433.988373 2675.076172 1210.061809
8.437952 0.051220 -1426.771973 -348.495056 1468.852661 1210.012539
8.542771 0.051220 -451.040802 -309.840454 547.268921 1203.358394
8.647590 0.051220 0.000000 0.000000 0.000000 666.470741
0.052410 0.065854 0.000000 0.000000 0.000000 785.661796
0.157229 0.065854 328.133972 -330.127441 465.498413 1223.106274
0.262048 0.065854 1079.190430 -410.215546 1154.563477 1228.122793
0.366867 0.065854 2136.433594 -591.301636 2216.791016 1228.157565
0.471687 0.065854 3786.796387 -968.652710 3908.785156 1228.157741
0.576506 0.065854 6379.713867 -2184.680176 6743.603027 1228.157742
0.681325 0.065854 5220.529297 -8648.559570 10102.871094 1228.157743
0.786145 0.065854 1756.716064 -7071.945801 7287.339844 1228.157743
0.890964 0.065854 779.532715 -5882.971191 5934.540527 1228.157743
0.995783 0.065854 383.265808 -5182.625000 5196.805664 1228.157743
1.100602 0.065854 144.454315 -4875.506836 4877.646484 1228.157743
1.205422 0.065854 26.176334 -4834.515625 4834.594727 1228.157743
1.310241 0.065854 9.175031 -4854.830078 4854.845703 1228.157743
1.415060 0.065854 39.389900 -4836.819336 4836.981445 1228.157743
1.519880 0.065854 78.725250 -4751.831055 4752.483398 1228.157742
1.624699 0.065854 94.991020 -4605.288086 4606.267578 1228.157742
1.729518 0.065854 51.980907 -4456.582031 4456.884766 1228.157742
1.834337 0.065854 -29.270363 -4441.868164 4441.966797 1228.157742
1.939157 0.065854 -69.584839 -4560.317871 4560.853027 1228.157742
2.043976 0.065854 -46.886948 -4670.762695 4671.000000 1228.157742
2.148795 0.065854 3.924209 -4708.537109 4708.539062 1228.157742
2.253614 0.065854 55.888622 -4660.966309 4661.302246 1228.157742
2.358434 0.065854 80.429489 -4536.814941 4537.530273 1228.157742
2.463253 0.065854 42.054863 -4403.008789 4403.209961 1228.157742
2.568072 0.065854 -37.782936 -4398.284668 4398.447754 1228.157742
2.672892 0.065854 -77.942940 -4529.109375 4529.782715 1228.157742
2.777711 0.065854 -52.950409 -4651.319824 4651.622559 1228.157743
2.882530 0.065854 2.305165 -4695.666016 4695.666992 1228.157742
2.987349 0.065854 59.611935 -4646.590820 4646.975098 1228.157742
3.092169 0.065854 95.714874 -4515.260742 4516.281738 1228.157743
3.196988 0.065854 78.591614 -4346.906738 4347.627930 1228.157742
3.301807 0.065854 0.060138 -4259.237793 4259.243164 1228.157741
3.406627 0.065854 -62.335960 -4350.393066 4350.839844 1228.157741
3.511446 0.065854 -56.020844 -4467.846680 4468.199219 1228.157741
3.616265 0.065854 1.497806 -4535.548828 4535.548828 1228.157741
3.721084 0.065854 60.267975 -4463.722656 4464.129883 1228.157741
3.825904 0.065854 79.761757 -4342.586426 4343.319336 1228.157741
3.930723 0.065854 43.841278 -4210.589844 4210.818359 1228.157741
4.035542 0.065854 -32.419544 -4200.836426 4200.962891 1228.157741
4.140361 0.065854 -71.499268 -4319.890625 4320.483887 1228.157741
4.245181 0.065854 -49.116539 -4431.812500 4432.085449 1228.157741
4.350000 0.065854 0.922454 -4471.232910 4471.233398 1228.157740
4.454819 0.065854 51.447796 -4427.806152 4428.105957 1228.157740
4.559639 0.065854 76.331131 -4311.803711 4312.480469 1228.157741
4.664458 0.065854 44.723927 -4184.279297 4184.518066 1228.157741
4.769277 0.065854 -26.416014 -4166.532227 4166.621094 1228.157741
4.874096 0.065854 -65.064903 -4275.854980 4276.360840 1228.157741
4.978916 0.065854 -45.439644 -4381.824219 4382.062988 1228.157740
5.083735 0.065854 2.438636 -4420.774414 4420.774414 1228.157741
5.188554 0.065854 55.877869 -4377.761230 4378.119629 1228.157741
