TITLE="(Vx,Vy)"
VARIABLES=X,Y,Vx,Vy,Vm,V
ZONE T="T-Dummy" I=30, J=41, F=POINT
0.063333 0.007317 0.000000 0.000000 0.000000 0.000000
0.190000 0.007317 0.000000 0.000000 0.000000 0.000000
0.316667 0.007317 0.000000 0.000000 0.000000 0.000000
0.443333 0.007317 0.000000 0.000000 0.000000 0.000000
0.570000 0.007317 0.000000 0.000000 0.000000 0.000000
0.696667 0.007317 0.000000 0.000000 0.000000 0.000000
0.823333 0.007317 0.000000 0.000000 0.000000 0.000000
0.950000 0.007317 0.000000 0.000000 0.000000 0.000000
1.076667 0.007317 0.000000 0.000000 0.000000 0.000000
1.203333 0.007317 0.000000 0.000000 0.000000 0.000000
1.330000 0.007317 0.000000 0.000000 0.000000 0.000000
1.456667 0.007317 0.000000 0.000000 0.000000 0.000000
1.583333 0.007317 0.000000 0.000000 0.000000 0.000000
1.710000 0.007317 0.000000 0.000000 0.000000 0.000000
1.836667 0.007317 0.000000 0.000000 0.000000 0.000000
1.963333 0.007317 0.000000 0.000000 0.000000 0.000000
2.090000 0.007317 0.000000 0.000000 0.000000 0.000000
2.216667 0.007317 0.000000 0.000000 0.000000 0.000000
2.343333 0.007317 0.000000 0.000000 0.000000 0.000000
2.470000 0.007317 0.000000 0.000000 0.000000 0.000000
2.596667 0.007317 0.000000 0.000000 0.000000 0.000000
2.723333 0.007317 0.000000 0.000000 0.000000 0.000000
2.850000 0.007317 0.000000 0.000000 0.000000 0.000000
2.976667 0.007317 0.000000 0.000000 0.000000 0.000000
3.103333 0.007317 0.000000 0.000000 0.000000 0.000000
3.230000 0.007317 0.000000 0.000000 0.000000 0.000000
3.356667 0.007317 0.000000 0.000000 0.000000 0.000000
3.483333 0.007317 0.000000 0.000000 0.000000 0.000000
3.610000 0.007317 0.000000 0.000000 0.000000 0.000000
3.736667 0.007317 0.000000 0.000000 0.000000 0.000000
0.063333 0.021951 0.000000 0.000000 0.000000 0.000000
0.190000 0.021951 0.001248 -0.000063 0.900000 0.001250
0.316667 0.021951 -0.001380 0.000564 0.900000 0.001491
0.443333 0.021951 -0.004966 -0.000036 0.900000 0.004967
0.570000 0.021951 -0.003714 -0.000262 0.900000 0.003724
0.696667 0.021951 -0.005164 0.000607 0.900000 0.005199
0.823333 0.021951 -0.007623 0.000143 0.900000 0.007624
0.950000 0.021951 -0.008949 -0.000095 0.900000 0.008949
1.076667 0.021951 -0.006785 -0.000121 0.900000 0.006786
1.203333 0.021951 0.000212 -0.000119 0.900000 0.000243
1.330000 0.021951 0.000671 0.000345 0.900000 0.000755
1.456667 0.021951 0.000634 -0.000594 0.900000 0.000869
1.583333 0.021951 -0.001415 0.000358 0.900000 0.001460
1.710000 0.021951 -0.006541 -0.000285 0.900000 0.006547
1.836667 0.021951 -0.005318 -0.000328 0.900000 0.005329
1.963333 0.021951 -0.004765 -0.000119 0.900000 0.004767
2.090000 0.021951 -0.003587 -0.000130 0.900000 0.003589
2.216667 0.021951 -0.004490 0.000019 0.900000 0.004490
2.343333 0.021951 -0.012123 0.000525 0.900000 0.012135
2.470000 0.021951 -0.014441 -0.000631 0.900000 0.014455
2.596667 0.021951 -0.011511 -0.000022 0.900000 0.011511
2.723333 0.021951 -0.015276 0.000422 0.900000 0.015282
2.850000 0.021951 -0.018939 -0.000136 0.900000 0.018940
2.976667 0.021951 -0.018146 -0.000151 0.900000 0.018146
3.103333 0.021951 -0.022839 -0.000383 0.900000 0.022842
3.230000 0.021951 -0.018523 -0.001184 0.900000 0.018561
3.356667 0.021951 -0.004174 -0.000522 0.900000 0.004207
3.483333 0.021951 -0.001726 0.000435 0.900000 0.001780
3.610000 0.021951 -0.002155 -0.000135 0.900000 0.002160
3.736667 0.021951 0.000000 0.000000 0.000000 0.000000
0.063333 0.036585 0.000000 0.000000 0.000000 0.000000
0.190000 0.036585 0.000618 -0.000122 0.900000 0.000630
0.316667 0.036585 -0.001947 0.001600 0.900000 0.002520
0.443333 0.036585 -0.005142 -0.000029 0.900000 0.005142
0.570000 0.036585 -0.009289 -0.000198 0.900000 0.009291
0.696667 0.036585 -0.016503 0.001714 0.900000 0.016592
0.823333 0.036585 -0.013604 0.000022 0.900000 0.013604
0.950000 0.036585 -0.013211 0.000120 0.900000 0.013211
1.076667 0.036585 -0.017422 -0.000149 0.900000 0.017423
1.203333 0.036585 -0.012622 -0.000151 0.900000 0.012623
1.330000 0.036585 -0.004999 0.000868 0.900000 0.005074
1.456667 0.036585 -0.001094 -0.000543 0.900000 0.001221
