TITLE="(Vx,Vy)"
VARIABLES=X,Y,Vx,Vy,Vm,V
ZONE T="T-Dummy" I=30, J=41, F=POINT
0.063333 0.007317 0.000000 0.000000 0.000000 0.000000
0.190000 0.007317 0.000000 0.000000 0.000000 0.000000
0.316667 0.007317 0.000000 0.000000 0.000000 0.000000
0.443333 0.007317 0.000000 0.000000 0.000000 0.000000
0.570000 0.007317 0.000000 0.000000 0.000000 0.000000
0.696667 0.007317 0.000000 0.000000 0.000000 0.000000
0.823333 0.007317 0.000000 0.000000 0.000000 0.000000
0.950000 0.007317 0.000000 0.000000 0.000000 0.000000
1.076667 0.007317 0.000000 0.000000 0.000000 0.000000
1.203333 0.007317 0.000000 0.000000 0.000000 0.000000
1.330000 0.007317 0.000000 0.000000 0.000000 0.000000
1.456667 0.007317 0.000000 0.000000 0.000000 0.000000
1.583333 0.007317 0.000000 0.000000 0.000000 0.000000
1.710000 0.007317 0.000000 0.000000 0.000000 0.000000
1.836667 0.007317 0.000000 0.000000 0.000000 0.000000
1.963333 0.007317 0.000000 0.000000 0.000000 0.000000
2.090000 0.007317 0.000000 0.000000 0.000000 0.000000
2.216667 0.007317 0.000000 0.000000 0.000000 0.000000
2.343333 0.007317 0.000000 0.000000 0.000000 0.000000
2.470000 0.007317 0.000000 0.000000 0.000000 0.000000
2.596667 0.007317 0.000000 0.000000 0.000000 0.000000
2.723333 0.007317 0.000000 0.000000 0.000000 0.000000
2.850000 0.007317 0.000000 0.000000 0.000000 0.000000
2.976667 0.007317 0.000000 0.000000 0.000000 0.000000
3.103333 0.007317 0.000000 0.000000 0.000000 0.000000
3.230000 0.007317 0.000000 0.000000 0.000000 0.000000
3.356667 0.007317 0.000000 0.000000 0.000000 0.000000
3.483333 0.007317 0.000000 0.000000 0.000000 0.000000
3.610000 0.007317 0.000000 0.000000 0.000000 0.000000
3.736667 0.007317 0.000000 0.000000 0.000000 0.000000
0.063333 0.021951 0.000000 0.000000 0.000000 0.000000
0.190000 0.021951 0.005245 -0.000424 0.900000 0.005262
0.316667 0.021951 0.022907 -0.001306 0.900000 0.022944
0.443333 0.021951 0.037897 0.000171 0.900000 0.037898
0.570000 0.021951 0.005449 0.004052 0.900000 0.006790
0.696667 0.021951 -0.016738 -0.000556 0.900000 0.016747
0.823333 0.021951 0.000869 -0.001350 0.900000 0.001605
0.950000 0.021951 -0.003655 0.000649 0.900000 0.003712
1.076667 0.021951 -0.001814 -0.001591 0.900000 0.002413
1.203333 0.021951 0.004659 0.000273 0.900000 0.004667
1.330000 0.021951 0.019439 -0.002681 0.900000 0.019623
1.456667 0.021951 0.029156 0.001170 0.900000 0.029180
1.583333 0.021951 0.030202 -0.000809 0.900000 0.030213
1.710000 0.021951 0.000237 0.004520 0.900000 0.004526
1.836667 0.021951 -0.034399 -0.000435 0.900000 0.034402
1.963333 0.021951 -0.028519 0.000255 0.900000 0.028521
2.090000 0.021951 -0.022624 -0.000511 0.900000 0.022630
2.216667 0.021951 -0.009149 -0.000117 0.900000 0.009149
2.343333 0.021951 0.000814 0.000014 0.900000 0.000814
2.470000 0.021951 -0.017275 0.002745 0.900000 0.017492
2.596667 0.021951 -0.018513 -0.001894 0.900000 0.018609
2.723333 0.021951 -0.007162 0.002004 0.900000 0.007437
2.850000 0.021951 -0.020200 0.000796 0.900000 0.020216
2.976667 0.021951 -0.030895 0.000003 0.900000 0.030895
3.103333 0.021951 -0.005607 -0.004138 0.900000 0.006969
3.230000 0.021951 0.029995 -0.000767 0.900000 0.030004
3.356667 0.021951 0.052311 -0.002394 0.900000 0.052366
3.483333 0.021951 0.043241 0.002768 0.900000 0.043330
3.610000 0.021951 0.008204 0.000668 0.900000 0.008231
3.736667 0.021951 0.000000 0.000000 0.000000 0.000000
0.063333 0.036585 0.000000 0.000000 0.000000 0.000000
0.190000 0.036585 0.004415 -0.001213 0.900000 0.004579
0.316667 0.036585 0.018616 -0.003624 0.900000 0.018965
0.443333 0.036585 0.028246 0.000691 0.900000 0.028254
0.570000 0.036585 -0.000569 0.011444 0.900000 0.011458
0.696667 0.036585 -0.046589 0.002476 0.900000 0.046655
0.823333 0.036585 -0.053080 -0.005032 0.900000 0.053318
0.950000 0.036585 -0.031433 0.000471 0.900000 0.031437
1.076667 0.036585 -0.012201 -0.003544 0.900000 0.012705
1.203333 0.036585 0.000795 0.000392 0.900000 0.000887
1.330000 0.036585 0.009613 -0.005347 0.900000 0.011000
1.456667 0.036585 0.008412 0.002591 0.900000 0.008802
1.583333 0.036585 0.007931 -0.000442 0.900000 0.007943
